[["B01003_001E","B00001_001E","B19301_001E","B19013_001E","B01002_001E","B25001_001E","B00002_001E","state","county","tract","block group"],
["1611","90","68654","81364","46.7","1153","62","11","001","011000","4"],
["770","38","78303","85857","39.8","643","30","11","001","011000","3"],
["863","57","63658","64028","64.6","653","37","11","001","011000","2"],
["5407","384","72428","111146","30.6","2993","221","11","001","010600","2"],
["1435","131","85014","140547","33.6","720","72","11","001","007000","1"],
["1326","108","55562","73750","36.2","852","71","11","001","007200","2"],
["1149","109","56914","65000","41.3","689","66","11","001","008402","2"],
["804","63","39367","88813","37.5","265","19","11","001","010600","3"],
["1394","142","49904","78370","33.3","839","86","11","001","008702","2"],
["956","65","45807","109076","28.1","374","26","11","001","010600","1"],
["1090","83","42733","79583","36.6","538","47","11","001","008701","2"],
["1278","137","62648","128875","31.0","469","50","11","001","008701","1"],
["2569","331","15326","25774","24.3","761","89","11","001","008803","1"],
["1714","173","23645","30784","29.3","869","94","11","001","009904","2"],
["1265","93","13244","30563","22.8","439","42","11","001","009904","1"],
["1022","74","30344","26875","42.1","525","39","11","001","009905","1"],
["522","31","29889","47188","39.3","263","19","11","001","009907","1"],
["796","27","72935","70982","35.1","538","21","11","001","005500","5"],
["932","72","70530","66657","35.3","704","20","11","001","005500","4"],
["1672","85","56112","56063","36.2","1049","60","11","001","005002","1"],
["1473","62","53311","101094","29.8","613","34","11","001","005002","3"],
["931","48","64323","73875","35.0","713","34","11","001","005002","4"],
["1910","115","98991","116492","32.5","1303","78","11","001","005002","2"],
["867","113","80784","146250","32.5","408","59","11","001","005001","1"],
["1216","135","86991","123625","38.1","585","75","11","001","005001","2"],
["1246","30","13748","19387","25.1","593","21","11","001","004701","1"],
["1938","125","46081","-666666666","45.1","1098","76","11","001","009000","1"],
["3828","319","71425","120987","30.9","2020","184","11","001","007200","1"],
["1084","114","10500","16607","27.2","552","62","11","001","007401","2"],
["1178","111","8863","13205","21.8","565","58","11","001","007401","1"],
["3187","160","15869","25761","26.3","1159","70","11","001","007403","1"],
["1732","88","20090","30042","33.4","726","44","11","001","007604","1"],
["1686","182","19928","32250","52.7","574","48","11","001","011100","3"],
["1279","163","40770","71375","39.9","538","74","11","001","009302","1"],
["1230","72","36113","36767","36.7","738","45","11","001","007604","3"],
["1027","44","21726","-666666666","21.7","332","20","11","001","007808","3"],
["931","57","17475","23258","52.8","691","43","11","001","007808","2"],
["3642","170","46754","53219","32.3","2195","109","11","001","004701","2"],
["3144","488","74595","101891","32.4","1747","275","11","001","004702","1"],
["807","40","16975","24063","33.9","518","29","11","001","008903","2"],
["1764","119","44296","96544","35.2","640","49","11","001","011100","1"],
["3148","175","15823","31316","32.2","1196","74","11","001","009811","2"],
["2098","157","32402","72614","39.7","700","62","11","001","011100","2"],
["2718","391","44426","84844","30.7","1120","146","11","001","009201","1"],
["2015","88","14213","29123","26.3","913","46","11","001","009811","1"],
["797","57","46772","-666666666","44.8","295","22","11","001","002201","3"],
["792","77","56190","112778","36.0","390","36","11","001","002400","1"],
["1762","170","55626","119063","36.0","490","49","11","001","002501","2"],
["1698","79","50195","76481","38.7","868","44","11","001","002502","4"],
["1133","162","87090","128482","42.6","483","71","11","001","002600","1"],
["2472","87","24740","42439","30.2","1072","51","11","001","002701","4"],
["1156","68","64203","170887","34.0","418","26","11","001","002701","3"],
["2759","195","32177","50544","30.3","1034","75","11","001","002801","2"],
["2734","148","43657","59263","33.0","1388","79","11","001","002802","1"],
["1034","111","22166","36277","40.5","356","44","11","001","009804","2"],
["2400","152","32660","36444","40.4","1286","85","11","001","009807","2"],
["2256","123","16838","30036","25.1","823","53","11","001","010900","1"],
["1798","162","12674","35586","24.7","625","43","11","001","010900","2"],
["874","61","44478","38523","48.2","535","36","11","001","009508","1"],
["1128","70","36719","59492","36.1","505","33","11","001","009509","3"],
["2179","86","12359","21786","25.4","956","46","11","001","009602","2"],
["3095","172","18688","37897","38.4","1196","59","11","001","010400","2"],
["1530","85","18464","32171","28.4","613","38","11","001","010400","1"],
["1828","111","47664","112580","48.8","737","59","11","001","009901","2"],
["1062","67","32916","62500","37.4","368","29","11","001","009901","1"],
["830","75","36003","84271","43.8","327","32","11","001","009903","2"],
["1601","116","40804","45063","30.7","752","58","11","001","003000","2"],
["1006","91","19504","35625","36.4","458","43","11","001","007709","2"],
["842","89","36950","26250","40.2","418","46","11","001","007807","2"],
["1991","81","20508","38548","30.4","660","31","11","001","007808","1"],
["1003","52","45505","58889","32.5","928","44","11","001","000702","2"],
["1488","84","63072","90823","41.2","933","52","11","001","000702","1"],
["1705","152","41259","109800","52.0","494","41","11","001","009504","2"],
["1591","107","48081","75093","35.8","931","64","11","001","009504","1"],
["1048","105","19032","32196","36.2","503","51","11","001","007806","2"],
["1018","63","175725","224625","44.5","546","30","11","001","000100","3"],
["1692","77","17609","31125","28.7","730","39","11","001","009810","1"],
["1222","65","14985","26369","29.5","495","31","11","001","009810","2"],
["1539","100","19769","25129","32.5","604","46","11","001","009102","3"],
["1106","69","30882","55054","34.5","515","35","11","001","009204","1"],
["1423","105","48341","78594","44.5","838","60","11","001","009203","2"],
["1385","86","28335","68281","36.6","455","30","11","001","009203","1"],
["984","83","48007","97639","40.6","416","38","11","001","009301","2"],
["769","51","46787","70192","51.8","323","24","11","001","009505","1"],
["1556","85","33409","66313","35.0","692","42","11","001","009505","3"],
["1976","110","75442","110104","35.2","1467","78","11","001","010500","2"],
["1648","70","42128","47880","36.9","891","43","11","001","010500","1"],
["1518","150","25009","32500","41.0","726","78","11","001","007709","1"],
["2220","339","9016","-666666666","19.5","512","55","11","001","010800","2"],
["2410","392","11721","95066","20.5","241","25","11","001","010800","3"],
["1821","214","13732","29837","20.7","363","34","11","001","010800","1"],
["2547","372","63620","129167","34.5","1040","149","11","001","008302","1"],
["2743","177","30675","44537","28.6","1245","89","11","001","009102","2"],
["972","66","40847","74420","34.4","396","31","11","001","009102","1"],
["862","67","40802","103456","47.1","303","26","11","001","009503","2"],
["681","72","53618","91875","42.0","357","30","11","001","009503","3"],
["1601","105","49102","106042","44.9","635","53","11","001","009503","1"],
["852","52","23911","-666666666","31.6","311","17","11","001","009700","2"],
["2403","120","17587","29516","29.0","1003","60","11","001","009700","1"],
["969","70","28905","63864","41.8","340","29","11","001","009807","1"],
["2376","76","97905","113036","36.9","1518","52","11","001","005500","2"],
["828","109","34430","66500","42.4","358","51","11","001","001902","2"],
["714","38","65498","86583","44.9","386","19","11","001","002701","1"],
["1831","143","56510","95865","35.4","855","57","11","001","002701","2"],
["1410","115","38433","62434","35.1","814","63","11","001","002801","1"],
["1893","56","74464","59167","30.2","1379","43","11","001","005500","3"],
["867","33","54640","102586","31.9","616","19","11","001","005500","1"],
["1242","71","23312","55179","45.0","398","30","11","001","007804","3"],
["72",null,"88547","-666666666","32.1","52",null,"11","001","006202","1"],
["1343","82","19546","53852","27.7","326","18","11","001","007804","1"],
["1536","85","21071","32829","32.8","726","41","11","001","007804","2"],
["1662","140","62927","118276","35.6","738","64","11","001","008001","2"],
["875","73","63919","172750","32.9","286","26","11","001","008001","3"],
["1815","188","15770","23352","26.4","699","82","11","001","007503","2"],
["1261","109","35662","68203","51.6","574","52","11","001","009508","2"],
["1556","89","24620","58015","34.8","584","37","11","001","009508","3"],
["588","63","74804","145625","33.7","369","27","11","001","008001","1"],
["1312","130","69051","158472","33.6","700","60","11","001","008301","1"],
["1111","103","75016","126667","31.4","544","49","11","001","008301","2"],
["873","37","21218","27176","37.8","378","20","11","001","007601","5"],
["1927","109","22731","32009","40.5","880","51","11","001","007601","3"],
["631","44","23202","32917","36.7","422","27","11","001","007601","4"],
["639","34","37531","-666666666","41.2","299","20","11","001","007601","2"],
["785","41","29603","36385","34.7","408","23","11","001","007601","1"],
["2445","140","30963","49830","32.7","1222","84","11","001","008903","1"],
["898","58","22934","50833","40.1","457","32","11","001","009905","2"],
["970","71","20567","44107","22.1","388","27","11","001","009905","3"],
["517","52","113993","138125","63.5","298","30","11","001","000202","2"],
["870","60","74581","178854","26.5","344","28","11","001","000202","3"],
["1900","186","47271","102153","21.7","673","41","11","001","000202","4"],
["1186","86","100302","210938","38.6","546","46","11","001","000202","1"],
["966","130","127078","106071","43.0","483","66","11","001","000400","2"],
["523","95","149528","250001","46.9","232","37","11","001","000400","1"],
["1599","152","142344","245625","52.8","661","61","11","001","000901","2"],
["780","54","56211","107308","42.6","277","24","11","001","009301","3"],
["1812","98","14362","16359","31.1","917","62","11","001","009204","2"],
["752","50","40365","78774","44.0","293","22","11","001","009301","1"],
["952","61","45016","118750","36.0","275","23","11","001","009301","4"],
["1531","90","74359","102703","33.6","857","49","11","001","000501","1"],
["2101","123","97253","120833","34.4","1348","79","11","001","000501","2"],
["1713","76","78618","133233","35.1","784","40","11","001","001301","1"],
["1384","76","47530","117625","38.1","497","28","11","001","002102","3"],
["755","65","59062","126250","40.8","354","32","11","001","002102","1"],
["728","53","33728","65568","49.1","283","23","11","001","002102","5"],
["1122","79","27977","62391","37.8","395","30","11","001","002102","4"],
["577","47","38084","47500","42.3","392","32","11","001","002102","2"],
["698","55","42204","-666666666","42.5","364","27","11","001","002102","6"],
["2011","114","25841","45708","32.4","749","53","11","001","002202","1"],
["762","60","38382","42074","35.3","389","31","11","001","002202","2"],
["574","42","51739","93304","46.5","339","23","11","001","002202","3"],
["1708","182","40479","60417","43.1","874","84","11","001","002302","1"],
["803","74","43316","49474","47.6","412","34","11","001","009902","1"],
["2317","130","24675","53090","37.9","917","55","11","001","009902","2"],
["1501","85","103669","153421","34.6","718","39","11","001","000100","1"],
["1150","64","174177","208859","44.1","608","30","11","001","000100","4"],
["1501","80","92571","128042","38.1","1080","51","11","001","000100","2"],
["1959","111","81880","93075","43.1","1296","75","11","001","000801","1"],
["1185","128","45937","103472","29.4","349","19","11","001","000801","4"],
["892","53","95117","214677","48.2","325","20","11","001","000801","2"],
["1497","106","61746","161364","29.7","446","39","11","001","000802","2"],
["976","61","56267","157292","32.5","289","19","11","001","001001","1"],
["1927","119","72537","152708","43.3","916","52","11","001","001001","2"],
["1747","117","70893","163980","35.3","494","30","11","001","001001","4"],
["1227","70","80054","188846","49.2","480","27","11","001","001001","6"],
["1521","121","83569","115625","43.1","730","56","11","001","001702","1"],
["1696","138","45654","79932","40.7","760","63","11","001","001702","2"],
["1678","161","55585","93250","32.6","825","77","11","001","003000","1"],
["1319","107","58412","103333","31.3","561","48","11","001","003301","2"],
["1120","85","78347","121667","42.3","624","52","11","001","003301","3"],
["3331","367","25744","103333","20.4","875","61","11","001","003400","2"],
["1243","132","131460","144583","44.2","1322","119","11","001","005800","1"],
["1511","111","22057","18389","35.3","765","67","11","001","006400","1"],
["977","82","21560","26607","28.5","524","45","11","001","006400","2"],
["1191","72","17323","27837","32.2","448","30","11","001","007407","1"],
["2384","85","64639","94349","38.9","1584","59","11","001","001302","1"],
["4555","139","108850","121496","35.9","3093","96","11","001","001302","2"],
["1819","68","49774","130045","30.3","759","32","11","001","003700","1"],
["2359","150","16411","28263","35.3","895","62","11","001","007304","1"],
["887","59","27427","61914","37.3","370","28","11","001","007304","2"],
["346","20","19885","-666666666","41.3","181",null,"11","001","007304","3"],
["978","45","77699","104000","33.0","404","20","11","001","001100","3"],
["759","44","99974","168008","40.3","319","19","11","001","001100","4"],
["1904","108","122217","147083","50.9","854","50","11","001","001100","1"],
["1228","148","104359","115708","33.8","821","78","11","001","004202","1"],
["1231","66","94626","161512","39.3","653","38","11","001","000600","1"],
["1627","123","54326","125500","31.7","516","45","11","001","003301","1"],
["1563","80","69345","118009","34.1","868","45","11","001","003600","1"],
["888","44","143185","250001","45.0","448","25","11","001","000600","2"],
["2034","114","133783","250001","48.9","841","42","11","001","000600","4"],
["845","53","115096","116898","34.6","359","23","11","001","000600","3"],
["1107","91","75597","97375","51.2","603","45","11","001","001402","2"],
["1000","96","92268","226406","42.3","343","38","11","001","001402","1"],
["1350","114","45064","106964","42.5","453","37","11","001","002002","3"],
["1866","129","34067","65000","32.5","624","46","11","001","002002","2"],
["1455","48","23922","38047","50.4","650","26","11","001","002101","1"],
["632","22","27576","46992","35.5","362","15","11","001","002101","2"],
["927","30","45231","95434","41.5","457","17","11","001","002101","5"],
["1067","52","41664","75255","51.4","440","22","11","001","002101","3"],
["738","26","35071","45833","36.0","340",null,"11","001","002101","4"],
["1396","104","36245","82727","43.6","482","39","11","001","002400","2"],
["972","92","45197","155221","35.3","280","25","11","001","002400","3"],
["907","85","47300","91806","33.4","364","35","11","001","002400","4"],
["1608","83","54077","103929","35.9","571","34","11","001","002702","3"],
["1917","112","36465","63281","30.8","793","55","11","001","002802","2"],
["1265","136","118090","130795","44.4","887","85","11","001","004100","1"],
["761","76","136430","214648","58.2","380","37","11","001","004100","3"],
["3682","431","2966","-666666666","19.8","0","0","11","001","000201","1"],
["2484","123","59426","101875","31.9","1199","62","11","001","003800","1"],
["1741","91","109045","98563","36.0","1112","58","11","001","003800","2"],
["1375","127","84888","123750","44.4","875","77","11","001","006900","1"],
["1004","84","81191","242813","37.8","383","31","11","001","006900","2"],
["637","51","31305","51705","42.3","310","25","11","001","007803","2"],
["1177","84","30844","35897","38.1","488","35","11","001","007803","1"],
["809","55","23073","103594","25.0","215","17","11","001","007803","3"],
["1488","88","23751","26750","39.4","935","59","11","001","007803","4"],
["1819","166","91796","212708","42.1","588","56","11","001","000901","1"],
["1469","88","127898","156000","30.9","917","53","11","001","001002","2"],
["1232","60","19463","19514","21.7","813","38","11","001","001002","1"],
["615","63","47596","70769","60.4","404","32","11","001","009505","2"],
["1810","113","69001","84095","37.0","1017","61","11","001","001200","1"],
["1893","190","22091","55109","33.7","644","79","11","001","002001","1"],
["880","49","98895","124808","33.8","576","29","11","001","001200","2"],
["1599","80","93307","161981","40.6","694","36","11","001","001200","4"],
["742","43","110807","168167","34.5","336","18","11","001","001200","3"],
["1180","85","38659","-666666666","39.7","413","32","11","001","002201","2"],
["1590","83","32502","133600","35.2","385","23","11","001","002502","3"],
["978","73","42313","63372","37.6","403","31","11","001","002201","1"],
["1910","81","43047","66806","34.0","791","40","11","001","002502","2"],
["1191","53","42263","52143","32.6","612","31","11","001","002502","1"],
["2582","212","58510","104950","30.8","994","89","11","001","002900","2"],
["1883","182","44678","92750","31.0","700","73","11","001","002900","1"],
["3282","229","51152","94939","34.4","1339","111","11","001","003100","1"],
["926","74","52440","142583","40.1","361","26","11","001","003200","1"],
["1396","91","40486","101563","32.9","504","38","11","001","003200","4"],
["1712","103","39166","68780","35.3","731","41","11","001","003200","3"],
["788","53","42570","83854","33.0","384","25","11","001","003200","2"],
["1119","152","56197","117143","30.4","482","72","11","001","003302","2"],
["1137","153","59789","111544","33.3","543","74","11","001","003302","1"],
["1850","114","69482","73770","34.3","998","61","11","001","004300","2"],
["2183","130","77879","110625","35.5","1296","80","11","001","004300","1"],
["2807","186","45495","79464","30.7","1192","94","11","001","007100","2"],
["979","102","75304","112125","32.0","646","61","11","001","006500","1"],
["1282","145","41807","72596","30.8","521","61","11","001","004901","1"],
["1555","196","77381","117111","33.9","871","108","11","001","004901","2"],
["1625","157","72120","145083","32.2","815","78","11","001","006500","2"],
["618","40","31101","53889","28.7","276","23","11","001","007100","1"],
["1757","81","13623","35702","25.4","611","35","11","001","007708","1"],
["1282","75","22792","34708","46.1","693","42","11","001","007708","2"],
["1329","147","22333","39844","39.4","535","61","11","001","007807","1"],
["694","44","38800","96210","32.9","318","22","11","001","008802","1"],
["1148","90","42228","64405","46.2","545","41","11","001","008802","4"],
["1257","86","37688","58629","35.0","638","48","11","001","008802","2"],
["1212","88","40792","71078","35.4","501","40","11","001","008802","3"],
["1044","47","25953","28384","34.1","627","31","11","001","009603","3"],
["1885","103","22909","44392","45.4","922","58","11","001","009603","1"],
["706","64","44707","67071","41.2","294","28","11","001","009603","2"],
["2317","227","13763","20513","26.3","941","98","11","001","009801","1"],
["1176","122","21624","42946","35.6","521","63","11","001","009802","2"],
["1598","82","20263","42000","27.1","592","38","11","001","007409","2"],
["875","86","5538","15265","20.4","358","42","11","001","009802","1"],
["1792","194","21099","36835","30.8","771","93","11","001","009804","1"],
["957","48","18726","40898","42.4","501","29","11","001","007409","1"],
["1624","231","65590","168462","34.7","652","94","11","001","006802","2"],
["885","124","68368","139107","33.4","401","56","11","001","006802","1"],
["1121","116","22313","45101","42.8","559","57","11","001","007806","1"],
["588","36","25710","26583","31.5","273","20","11","001","007901","1"],
["1155","81","26223","37917","33.4","526","42","11","001","007901","4"],
["1074","82","35988","71083","39.6","476","38","11","001","007901","2"],
["1261","99","34155","66413","36.4","554","46","11","001","007901","3"],
["1225","118","63253","114464","41.0","600","62","11","001","008002","1"],
["1176","60","64337","79010","40.3","826","42","11","001","000701","2"],
["1345","72","77647","70962","37.8","836","44","11","001","000701","1"],
["1404","77","62006","89318","31.9","970","53","11","001","003900","1"],
["1124","67","66024","91250","42.2","546","35","11","001","003900","2"],
["1357","149","33551","41702","35.8","608","74","11","001","008702","1"],
["2567","243","17276","29428","31.8","954","98","11","001","009601","1"],
["1469","120","83186","120588","36.1","869","74","11","001","004802","1"],
["3308","169","56588","84228","32.6","1226","65","11","001","002702","2"],
["1390","67","37566","54773","34.9","700","36","11","001","002702","1"],
["2059","148","35765","38083","31.4","1046","77","11","001","004802","2"],
["960","55","80533","106607","31.8","609","36","11","001","005301","1"],
["1297","75","74033","113438","32.9","887","52","11","001","005301","2"],
["1675","190","47345","87500","35.8","734","90","11","001","006801","1"],
["4606","418","29841","84009","23.6","1425","117","11","001","007301","1"],
["675","81","51163","91125","34.6","330","45","11","001","006801","2"],
["2733","366","8716","156583","34.0","27",null,"11","001","006804","1"],
["1488","171","53557","115568","27.5","501","45","11","001","007000","2"],
["1691","101","20106","29779","26.9","632","44","11","001","007404","1"],
["2321","79","23938","73696","22.8","557","26","11","001","007404","2"],
["839","66","47280","87240","45.1","326","30","11","001","009400","1"],
["987","72","55413","106023","42.0","369","34","11","001","009400","4"],
["1789","145","34964","112625","41.7","569","50","11","001","009400","3"],
["1302","103","33838","63958","43.0","561","49","11","001","009400","2"],
["3246","169","20014","49830","30.0","962","61","11","001","009501","1"],
["3709","532","13745","51806","20.7","667","52","11","001","009501","3"],
["2251","111","14430","26676","29.0","984","55","11","001","009907","2"],
["1883","87","73320","128233","29.3","789","44","11","001","004001","1"],
["591","40","142104","136296","45.0","458","30","11","001","004001","2"],
["1926","103","77928","108493","41.0","1130","64","11","001","004001","3"],
["704","38","19161","30583","31.0","374","26","11","001","009501","2"],
["1623","192","22801","44357","35.5","822","104","11","001","009906","1"],
["2304","204","71252","122500","32.3","1195","119","11","001","004902","2"],
["843","49","32729","36220","30.0","375","27","11","001","004902","1"],
["870","68","35637","63167","45.8","399","38","11","001","009509","2"],
["1115","67","73373","101838","32.1","552","31","11","001","000300","1"],
["1316","86","35160","87902","36.8","460","38","11","001","009509","1"],
["960","65","32336","16719","51.6","546","42","11","001","009803","3"],
["995","47","13805","37813","27.7","405","25","11","001","009803","2"],
["1987","110","73312","197619","29.5","620","39","11","001","000300","4"],
["1937","98","65878","178676","26.4","614","38","11","001","000300","3"],
["827","50","62416","92639","29.4","595","34","11","001","000702","3"],
["1642","91","88356","216346","45.9","613","34","11","001","001500","1"],
["894","101","118813","205675","57.0","307","15","11","001","001500","3"],
["1634","93","85691","156150","51.3","633","39","11","001","001500","4"],
["1107","63","83858","205787","40.9","366","23","11","001","001500","5"],
["3101","132","19965","41094","32.7","1046","53","11","001","001804","3"],
["1457","79","23917","43413","42.4","549","31","11","001","001804","2"],
["1543","115","50741","128375","36.7","421","38","11","001","002301","1"],
