[["B01003_001E","B00001_001E","B19301_001E","B19013_001E","B01002_001E","B25001_001E","B00002_001E","state","county","tract"],
["2055","154","39497","79500","33.4","949","77","11","001","003302"],
["4794","283","13388","25466","20.4","1302","86","11","001","003400"],
["2338","145","19574","32227","24.2","1033","65","11","001","003500"],
["4487","266","29642","41016","35.9","1993","141","11","001","003600"],
["4554","235","22327","40066","28.4","2298","128","11","001","003700"],
["3975","205","53761","72536","36.3","2703","141","11","001","003800"],
["4028","228","58419","72825","35.2","2898","167","11","001","003900"],
["3477","213","77260","101288","37.8","2332","136","11","001","004001"],
["2406","200","91672","86818","35.5","1707","138","11","001","004002"],
["2821","225","88282","91190","43.9","1670","128","11","001","004100"],
["3400","214","75304","90735","33.4","2141","141","11","001","004201"],
["2447","198","83017","88679","33.9","1821","147","11","001","004202"],
["2790","172","51202","53583","38.9","1999","121","11","001","004300"],
["4005","229","65780","97841","35.6","2114","133","11","001","004400"],
["2389","169","35382","51319","37.3","1267","94","11","001","004600"],
["4990","233","18782","15244","31.5","2562","123","11","001","004700"],
["1596","112","47629","73814","38.3","993","73","11","001","004801"],
["3202","172","32375","39796","35.3","1345","89","11","001","004802"],
["1658","98","38422","49063","38.7","956","57","11","001","004901"],
["2594","181","49978","66422","29.3","1390","105","11","001","004902"],
["7322","381","56137","74282","36.3","4541","245","11","001","005000"],
["1186","92","58791","53210","33.8","1069","82","11","001","005100"],
["4941","305","74141","62854","35.8","4077","240","11","001","005201"],
["572","48","30573","39000","29.3","469","36","11","001","005202"],
["5633","261","64484","85355","40.1","3571","199","11","001","005301"],
["167","15","86909","109545","41.6","155","14","11","001","005302"],
["1236","121","68498","52000","27.8","1000","85","11","001","005401"],
["0",null,null,null,null,"0",null,"11","001","005402"],
["5273","325","73840","88458","35.7","3895","235","11","001","005500"],
["4538","286","72601","69929","39.6","3797","217","11","001","005600"],
["5809","415","6726","13594","19.8","1045","89","11","001","005701"],
["0",null,null,null,null,"0",null,"11","001","005702"],
["2168","189","96177","107208","34.7","1894","148","11","001","005800"],
["3543","286","32617","52130","42.9","1513","124","11","001","005900"],
["3643","200","53900","62834","35.9","2503","132","11","001","006001"],
["594","36","2618","5859","25.5","171","11","11","001","006002"],
["2561","151","55957","71431","45.1","1877","113","11","001","006100"],
["473","39","84025","97292","37.3","314","24","11","001","006201"],
["0",null,null,null,null,"0",null,"11","001","006202"],
["4659","204","51583","71209","48.7","3178","158","11","001","006301"],
["331",null,"20807",null,"22","0",null,"11","001","006302"],
["2051","112","19995","18774","38.3","1119","69","11","001","006400"],
["2597","188","72742","117083","36.3","1525","112","11","001","006500"],
["1836","152","72527","91141","35.6","1175","90","11","001","006600"],
["4226","358","69242","135573","38.1","2004","168","11","001","006700"],
["1688","106","45287","64769","39.1","1026","62","11","001","006801"],
["2219","141","35293","72885","37","976","65","11","001","006802"],
["2178",null,"4667",null,"33.8","36",null,"11","001","006804"],
["2083","147","64938","110865","38.1","1124","80","11","001","006900"],
["2356","190","65219","87314","33.6","1194","92","11","001","007000"],
["3088","179","22767","29063","30.9","1269","83","11","001","007100"],
["625","57","32305","33911","35.5","675","50","11","001","007200"],
["2958","194","22818","68333","25.6","1168","76","11","001","007301"],
["3495","218","17911","30663","28.3","1785","115","11","001","007302"],
["3556","194","19008","36467","33.8","1432","84","11","001","007304"],
["450",null,"3136",null,"19.7","0",null,"11","001","007308"],
["2729","147","8862","18472","21","1017","61","11","001","007401"],
["3413","148","16776","29912","26.7","1186","59","11","001","007403"],
["3587","197","12795","29595","20.8","1425","84","11","001","007404"],
["3489","215","10949","28403","22.3","1119","78","11","001","007406"],
["3177","154","18424","36810","25.3","1124","68","11","001","007407"],
["2678","150","11755","17956","25.9","1204","73","11","001","007408"],
["3641","225","17619","30476","25.7","1662","103","11","001","007409"],
["4874","258","15366","34583","27.9","1984","114","11","001","007502"],
["2787","161","13793","34496","33.3","1020","67","11","001","007503"],
["3075","145","12269","18545","28.6","1293","73","11","001","007504"],
["4521","254","18819","31949","41.9","2182","128","11","001","007601"],
["4685","200","32945","48246","39","2364","112","11","001","007603"],
["3563","217","28528","44087","46.4","1991","130","11","001","007604"],
["3439","200","21978","40186","42.4","1832","117","11","001","007605"],
["6518","284","16943","33973","25.4","2389","117","11","001","007703"],
["3876","261","20956","30708","34.5","1662","114","11","001","007707"],
["2913","163","17491","33908","30.9","1317","81","11","001","007708"],
["2111","121","23090","35357","37.6","1161","66","11","001","007709"],
["3002","190","19739","23099","39.3","1676","107","11","001","007803"],
["3242","209","12796","17500","33.1","1330","91","11","001","007804"],
["2105","148","17516","39639","37.6","1055","70","11","001","007806"],
["2343","155","14243","30345","31.8","849","54","11","001","007807"],
["3710","213","14051","26688","26.2","1487","94","11","001","007808"],
["3037","145","18566","27969","37.4","1378","78","11","001","007809"],
["3926","200","25556","40614","33.5","1738","108","11","001","007901"],
["1662","100","30548","44360","46.6","958","58","11","001","007903"],
["2519","207","46851","89234","37","1267","104","11","001","008001"],
["3303","234","51865","85824","35.8","1639","123","11","001","008002"],
["3337","245","62739","130195","31.3","1462","120","11","001","008100"],
["2695","224","81287","82500","34.5","1581","132","11","001","008200"],
["2249","163","73313","112143","37.7","1203","88","11","001","008301"],
["1825","133","68143","110563","33.9","968","71","11","001","008302"],
["2543","177","33456","61000","41.5","1266","96","11","001","008402"],
["1490","88","42304","96417","36.8","657","39","11","001","008410"],
["3295","211","32308","64549","37.8","1462","107","11","001","008500"],
["0",null,null,null,null,"35",null,"11","001","008600"],
["2074","131","32206","66563","33.9","947","63","11","001","008701"],
["1983","109","21885","31417","39.6","941","53","11","001","008702"],
["4573","292","21645","40302","32.7","2034","139","11","001","008802"],
["1526","95","14165","29837","28.1","640","41","11","001","008803"],
["2785","147","17697","28609","42.5","1543","85","11","001","008804"],
["2575","164","17779","25597","33","1467","97","11","001","008903"],
["3349","202","14661","22195","35.5","1839","118","11","001","008904"],
["0",null,null,null,null,"0",null,"11","001","008905"],
["2412","163","38358","36047","51.8","1586","123","11","001","009000"],
["4531","285","24969","52021","45.9","1892","120","11","001","009101"],
["4603","262","15056","23580","32.3","1823","115","11","001","009102"],
["1326","83","28366","43629","32.7","586","39","11","001","009201"],
["3048","147","29492","50154","33.5","1319","81","11","001","009203"],
["2636","145","16993","28420","41.5","1302","83","11","001","009204"],
["3363","208","36827","74113","43.1","1281","90","11","001","009301"],
["1281","89","30690","78929","43.2","546","37","11","001","009302"],
["4043","266","37627","71316","43.5","1813","131","11","001","009400"],
["5925","301","18537","44583","21","2080","109","11","001","009501"],
["3076","200","37877","81250","49.9","1217","84","11","001","009503"],
["3497","241","25168","46758","47.3","1379","100","11","001","009504"],
["2659","170","30107","60750","47.2","1232","94","11","001","009505"],
["2012","110","28616","59444","43","660","42","11","001","009507"],
["3186","176","27288","46092","44","1455","98","11","001","009508"],
["3197","220","34287","58000","46.6","1295","98","11","001","009509"],
["2747","139","13819","22300","21.9","899","54","11","001","009601"],
["3577","184","12799","23696","26.5","1489","90","11","001","009602"],
["3627","218","19938","37371","34.5","1785","117","11","001","009603"],
["2151","135","25430","39844","43.1","1037","67","11","001","009604"],
["3051","152","16870","36250","26.2","1237","69","11","001","009700"],
["1598","84","13782","31875","22.3","673","47","11","001","009801"],
["1262","76","14448","28000","30.3","786","48","11","001","009802"],
["2369","129","16335","27061","30.2","1343","83","11","001","009803"],
["3012","123","19498","43275","31.9","1033","55","11","001","009804"],
["5796","225","13372","25820","26.8","3036","124","11","001","009806"],
["3211","192","21679","41263","41.2","1604","94","11","001","009807"],
["2545","149","19632","28203","27.2","1449","88","11","001","009808"],
["841",null,"8424",null,"50.7","0",null,"11","001","009809"],
["2122","153","43918","74028","52.8","1030","81","11","001","009901"],
["2753","154","30682","54896","46.3","1277","80","11","001","009902"],
["1350","86","22247","41652","40.9","750","42","11","001","009903"],
["1572","101","18332","26926","36.6","945","55","11","001","009904"],
["2491","129","18526","32080","30.9","1339","79","11","001","009905"],
["1897","104","19030","34476","34.8","886","54","11","001","009906"],
["2703","169","14751","25482","28.6","1253","77","11","001","009907"]]
