,Latitude,Longitude,Stop_Name,Routes_Available,Stop_ID,census_block,census_blockgroup,census_tract,census_index
50,38.923432,-77.051062,CALVERT ST NW + CONNECTICUT AVE NW,"96, 96v5, L2, L2v2",1001843,1010,1,000501,0005011
51,38.923527,-77.03201,14TH ST NW + EUCLID ST NW,"52, 52v1, 52v3, 54",1001845,1000,1,003600,0036001
52,38.923612,-77.052015,CALVERT ST NW + CONNECTICUT AVE NW,"96, 96v1",1001846,2003,2,000501,0005012
53,38.923583,-76.96731899999999,BLADENSBURG RD NE + DOUGLAS ST NE,B2,1001848,1013,1,011100,0111001
54,38.923603,-76.979085,18TH ST NE + DOUGLAS ST NE,E2,1001849,1013,1,009102,0091021
55,38.923563,-77.00917199999999,N CAPITOL ST NW + DOUGLAS ST NE,"80, 80v1, 80v2, 80v3",1001850,1000,1,003301,0033011
56,38.923777,-77.025373,SHERMAN AVE NW + EUCLID ST NW,63,1001851,2001,2,003500,0035002
57,38.923763,-76.966717,BLADENSBURG RD NE + 30TH ST NE,"B2, B2v2",1001852,1014,1,011100,0111001
58,38.923651,-77.100555,MACARTHUR BLVD NW + CUSHING PL NW,"D5, D6, D6v2",1001853,2036,2,000902,0009022
59,38.923764,-76.987708,RHODE ISLAND AVE NE + BRENTWOOD RD NE,"83, 83v2, 83v3, 86, 86v1, B8, B9, S41",1001855,2000,2,009102,0091022
60,38.923743,-76.962366,31ST PL NE + SOUTH DAKOTA AVE NE,"H6, H6v1",1001856,1010,1,009000,0090001
61,38.923977,-77.026944,11TH ST NW + EUCLID ST NW,64,1001857,1005,1,003500,0035001
62,38.924087,-77.022397,GEORGIA AVE NW + EUCLID ST NW,70,1001860,2006,2,003400,0034002
63,38.924084,-77.032325,14TH ST NW + FAIRMONT ST NW,"52, 52v2, 54, 54v1",1001861,2003,2,003700,0037002
64,38.924109,-76.99802,EDGEWOOD ST NE + 6TH ST NE,G8,1001863,2002,2,009204,0092042
65,38.924151,-76.998257,EDGEWOOD ST NE + 6TH ST NE,"D8, G8, G8v3",1001864,1005,1,009204,0092041
66,38.924144,-76.960871,31ST PL NE + THEODORE R HAGANS DR NE,"B8, B8v1, B8v2, B9, H6, H6v1",1001865,1010,1,009000,0090001
67,38.924228,-76.990247,12TH ST NE + EVARTS ST NE,"H8, H9",1001866,1012,1,009302,0093021
68,38.924208,-76.959783,31ST PL NE + FORT LINCOLN DR NE,"B8, B8v1, B8v2, B9, H6, H6v1",1001868,1010,1,009000,0090001
69,38.924194,-77.073307,WISCONSIN AVE NW + EDMUNDS ST NW,"30N, 30S, 31, 33",1001869,2000,2,000702,0007022
70,38.924307,-77.02265,GEORGIA AVE NW + EUCLID ST NW,"70, 70v1",1001871,1006,1,003500,0035001
71,38.924227,-77.066518,MASSACHUSETTS AVE NW + 34TH ST NW,"N2, N4, N4v1, N6",1001872,2020,2,000400,0004002
72,38.924374,-76.978926,18TH ST NE + EVARTS ST NE,E2,1001873,3007,3,011100,0111003
73,38.924582,-77.073081,WISCONSIN AVE NW + EDMUNDS ST NW,"30N, 30S, 31, 33",1001874,1015,1,000400,0004001
74,38.924484,-77.052628,24TH ST NW + CONNECTICUT AVE NW,"L2, L2v2",1001875,2000,2,000501,0005012
75,38.92458,-77.067373,MASSACHUSETTS AVE NW + 34TH PL NW,"N2, N4, N4v1, N6",1001876,1019,1,000400,0004001
76,38.924492,-77.05221,CONNECTICUT AVE NW + 24TH ST NW,L1,1001877,2003,2,000501,0005012
77,38.924537,-77.040056,COLUMBIA RD NW + ONTARIO RD NW,"42, 43, H1",1001878,3002,3,003900,0039003
78,38.924616,-77.078691,EDMUNDS ST NW + 39TH ST NW,"D1, D2, D2v1",1001881,1003,1,000702,0007021
79,38.924665999999995,-76.979086,18TH ST NE + EVARTS ST NE,E2,1001883,1004,1,009102,0091021
80,38.924858,-76.959614,FORT LINCOLN DR NE + 31ST PL NE,"B8, B8v2, B9, H6, H6v1",1001884,1001,1,009000,0090001
81,38.924881,-76.996724,EDGEWOOD ST NE + 7TH ST NE,"D8, G8, G8v3",1001885,1001,1,009204,0092041
82,38.924976,-77.101233,MACARTHUR BLVD NW + DANA PL NW,"D5, D6, D6v3",1001886,1002,1,000902,0009021
83,38.924824,-77.068118,MASSACHUSETTS AVE NW + EDMUNDS ST NW,"N2, N4, N4v1, N6",1001887,1011,1,000400,0004001
84,38.925038,-77.101665,MACARTHUR BLVD NW + DANA PL NW,"D5, D6, D6v2",1001889,2024,2,000902,0009022
85,38.925359,-77.052444,CONNECTICUT AVE NW + WOODLEY RD NW,"L1, L2, L2v2",1001890,1011,1,000501,0005011
86,38.925368,-76.983581,RHODE ISLAND AVE NE + FRANKLIN ST NE,"83, 83v2, 83v3, 86, 86v1, B8, B9",1001891,1005,1,009102,0091021
87,38.925885,-76.978903,18TH ST NE + FRANKLIN ST NE,E2,1001893,2019,2,011100,0111002
88,38.925542,-76.970362,FRANKLIN ST NE + 26TH ST NE,"B8, B9, H6",1001894,2031,2,011100,0111002
89,38.925539,-76.972335,FRANKLIN ST NE + 24TH ST NE,"B8, B9, H6",1001896,2029,2,011100,0111002
90,38.925539,-76.974384,FRANKLIN ST NE + 22ND ST NE,"B8, B9, H6",1001897,2028,2,011100,0111002
91,38.925432,-76.965049,BLADENSBURG RD NE + SOUTH DAKOTA AVE NE,"B2, B8, B8v2, B9, H6, H6v1",1001898,1018,1,011100,0111001
92,38.925539,-76.976394,FRANKLIN ST NE + 20TH ST NE,"B8, B9, H6",1001899,2027,2,011100,0111002
93,38.925533,-76.979198,FRANKLIN ST NE + 18TH ST NE,"B8, B9, H6",1001900,1004,1,009102,0091021
94,38.925526,-77.03800600000001,COLUMBIA RD NW + MOZART PL NW,"42, 43, H1",1001901,3002,3,003800,0038003
95,38.925637,-76.98058,FRANKLIN ST NE + 17TH ST NE,"B8, B9, H6",1001906,1003,1,009102,0091021
96,38.925528,-76.998891,FRANKLIN ST NE + MONTANA AVE NE,D8,1001907,1002,1,009204,0092041
97,38.925601,-76.98365600000001,RHODE ISLAND AVE NE + 15TH ST NE,"83, 83v1, 83v4, 86, B8, B9",1001908,3020,3,009301,0093013
98,38.925641,-76.976061,FRANKLIN ST NE + 20TH ST NE,"B8, B9, H6",1001909,2020,2,011100,0111002
99,38.925643,-76.978752,FRANKLIN ST NE + 18TH ST NE,"B8, B9, H6",1001910,2019,2,011100,0111002
100,38.925637,-76.97155,FRANKLIN ST NE + MILLS AVE NE,"B8, B9, H6",1001911,2023,2,011100,0111002
101,38.925692,-77.052915,CONNECTICUT AVE NW + WOODLEY RD NW,"L1, L2, L2v2",1001913,1011,1,000502,0005021
102,38.92573,-77.02565600000001,SHERMAN AVE NW + GIRARD ST NW,63,1001914,1003,1,003500,0035001
103,38.92572,-76.965918,SOUTH DAKOTA AVE NE + FRANKLIN ST NE,"B8, B9, H6, H6v1",1001915,1009,1,011100,0111001
104,38.92582,-77.032457,14TH ST NW + GIRARD ST NW,"52, 52v2, 54, 54v1",1001916,2000,2,003700,0037002
105,38.925748,-76.984003,FRANKLIN ST NE + 15TH ST NE,H6,1001917,3021,3,009301,0093013
106,38.925865,-76.983682,FRANKLIN ST NE + 15TH ST NE,H6,1001918,3018,3,009301,0093013
107,38.925331,-76.990349,12TH ST NE + FRANKLIN ST NE,"H8, H9",1001919,1009,1,009302,0093021
108,38.925837,-76.96229,BANNEKER DR NE + BERRY RD NE,"B8, B8v1, B9",1001920,2004,2,009000,0090002
109,38.925334,-76.979097,18TH ST NE + FRANKLIN ST NE,E2,1001921,1004,1,009102,0091021
110,38.925849,-77.03636800000001,16TH ST NW + HARVARD ST NW,"S1v1, S2, S4",1001922,2001,2,003700,0037002
111,38.925781,-77.00443800000001,FRANKLIN ST NE + GLENWOOD CEMETERY,D8,1001923,1000,1,009203,0092031
112,38.925843,-76.990563,12TH ST NE + FRANKLIN ST NE,H8,1001925,1005,1,009302,0093021
113,38.925872,-76.996246,7TH ST NE + FRANKLIN ST NE,"G8, G8v3",1001926,1014,1,009201,0092011
114,38.926158,-76.996104,7TH ST NE + FRANKLIN ST NE,G8,1001928,1015,1,009201,0092011
115,38.926051,-77.026939,11TH ST NW + GIRARD ST NW,64,1001929,1001,1,003500,0035001
116,38.92564,-77.025875,SHERMAN AVE NW + GIRARD ST NW,63,1001930,1004,1,003500,0035001
117,38.926097,-77.06959499999999,MASSACHUSETTS AVE NW + FULTON ST NW,"N2, N4, N4v1, N6",1001932,1010,1,000400,0004001
118,38.926057,-77.102795,MACARTHUR BLVD NW + EDMUNDS PL NW,"D5, D6, D6v2",1001933,2024,2,000902,0009022
119,38.926345,-77.01268,MICHIGAN AVE NW + 1ST ST NW,"H1, H2, H3, H4",1001935,1029,1,002302,0023021
120,38.926349,-77.05757,29TH ST NW + WOODLEY RD NW,"96, 96v1",1001936,1002,1,000502,0005021
121,38.926308,-77.057723,29TH ST NW + GARFIELD ST NW,"96, 96v5",1001937,1003,1,000502,0005021
122,38.926423,-77.022725,GEORGIA AVE NW + GRESHAM PL NW,70,1001939,2003,2,003400,0034002
123,38.926587,-77.102976,MACARTHUR BLVD NW + EDMUNDS PL NW,"D5, D6, D6v3",1001941,1007,1,000902,0009021
124,38.926569,-77.014868,MICHIGAN AVE NW + CHILDREN'S MEDICAL CENTER,"H1, H2, H3, H4",1001942,1029,1,002302,0023021
125,38.926569,-76.981078,RHODE ISLAND AVE NE + 17TH ST NE,"83, 83v2, 83v3, 86, 86v1",1001943,1002,1,009102,0091021
126,38.926604,-76.985811,14TH ST NE + GIRARD ST NE,H6,1001944,3017,3,009301,0093013
127,38.926752,-77.03728000000001,HARVARD ST NW + HARVARD ST NW,"42, 43, D32, H1, H2, H3, H4, H4v1",1001945,1000,1,003900,0039001
128,38.92691,-76.967626,VISTA ST NE + SOUTH DAKOTA AVE NE,"B8, B9, H6",1001946,3000,3,011100,0111003
129,38.926742,-77.036748,MT PLEASANT ST NW + HARVARD ST NW,"42, 43",1001947,1000,1,003900,0039001
130,38.926761,-77.023003,GEORGIA AVE NW + GRESHAM PL NW,70,1001948,1000,1,003500,0035001
131,38.926826,-77.008744,MICHIGAN AVE NE + N CAPITOL ST NE,"D8, H1, H2, H3, H4",1001949,1018,1,002302,0023021
132,38.926859,-77.015738,MICHIGAN AVE NW + CHILDREN'S MEDICAL CENTER,"H1, H2, H3, H4",1001950,2000,2,003400,0034002
133,38.92686,-76.981085,RHODE ISLAND AVE NE + 17TH ST NE,"83, 83v1, 83v4, 86",1001952,3023,3,009301,0093013
134,38.926867,-76.95907700000001,FORT LINCOLN DR NE + THURGOOD MARSHALL ELEM,"B8, B8v2, B9, H6, H6v1",1001953,1001,1,009000,0090001
135,38.926887,-76.985967,14TH ST NE + GIRARD ST NE,H6,1001954,1000,1,009302,0093021
136,38.927002,-76.967697,VISTA ST NE + SOUTH DAKOTA AVE NE,"B8, B9, H6",1001955,2026,2,011100,0111002
137,38.92707,-76.962654,BLADENSBURG RD NE + CENTRAL AVE NE,"B2, B2v2, B8, B8v1, B9",1001956,2004,2,009000,0090002
138,38.927015999999995,-77.10385,MACARTHUR BLVD NW + ARIZONA AVE NW,"D5, D6, D6v2",1001957,2033,2,000902,0009022
139,38.927222,-77.005673,MICHIGAN AVE NE + FRANKLIN ST NE,"80, 80v1, 80v2, 80v3, H1, H2, H3, H4",1001958,1006,1,009201,0092011
140,38.927298,-76.962764,BLADENSBURG RD NE + CENTRAL AVE NE,"B2, B8, B8v2, B9, H6, H6v1",1001961,1005,1,011100,0111001
141,38.927298,-77.071494,MASSACHUSETTS AVE NW + GARFIELD ST NW,"37, N2, N4, N4v1, N6",1001962,1003,1,000400,0004001
142,38.927518,-76.990524,12TH ST NE + HAMLIN ST NE,"H8, H9",1001963,1001,1,009302,0093021
143,38.927543,-77.033114,COLUMBIA RD NW + 14TH ST NW,"D32, H1, H2, H3, H4, H4v1",1001964,1001,1,002802,0028021
144,38.927591,-76.996245,7TH ST NE + HAMLIN ST NE,"G8, G8v3",1001966,1004,1,009201,0092011
145,38.927759,-77.025961,SHERMAN AVE NW + COLUMBIA RD NW,63,1001968,1016,1,003100,0031001
146,38.927703,-77.02956400000001,COLUMBIA RD NW + 13TH ST NW,"H1, H2, H3, H4, H8",1001969,2004,2,003000,0030002
147,38.927803000000004,-77.10432,MACARTHUR BLVD NW + ARIZONA AVE NW,"D5, D6, D6v3",1001971,1017,1,000901,0009011
148,38.927689,-76.961033,BANNEKER DR NE + BLADENSBURG RD NE,"B8, B8v1, B9",1001972,2003,2,009000,0090002
149,38.836317,-76.94635500000001,KEITH ST + ST CLAIR DR,"H11, H12, H12v1",3002767,2006,2,801802,8018022
150,38.835431,-76.94845500000001,28TH AVE + KEITH ST,"H11, H12, H12v1",3002768,2023,2,801802,8018022
151,38.832815999999994,-76.946372,28TH AVE + ST CLAIR DR,"H11, H12, H12v1",3002769,1000,1,801801,8018011
152,38.81848,-77.001634,AUDREY LN + EASTOVER PARK & RIDE LOT,P12,3002773,2003,2,801500,8015002
153,38.819123,-77.00008100000001,INDIAN HEAD HWY + AUDREY LN,"D13, D13v1, P18, P19, W14v1",3002779,2000,2,801500,8015002
154,38.733463,-76.976016,OLD FORT RD + TRAFALGAR DR,W14,3002780,2001,2,801312,8013122
155,38.728752,-76.978476,OLD FORT RD + FLAGSHIP AVE,W14,3002781,2001,2,801312,8013122
156,38.72833,-76.978721,OLD FORT RD + FLAGSHIP AVE,W14,3002782,2014,2,801312,8013122
157,38.778745,-76.96144100000001,BOCK RD + MILL CROSSING DR,"W14, W14v2",3002802,4000,4,801407,8014074
158,38.778017,-76.960937,BOCK RD + MILL CROSSING DR,"W14, W14v1",3002803,1009,1,801406,8014061
159,38.761921,-76.95644200000001,ALLENTOWN RD + STEEDS GRANT WAY,"W14, W14v1",3002804,1003,1,801305,8013051
160,38.756653,-76.966808,ALLENTOWN RD + THORNKNOLL DR,"W14, W14v1",3002806,1022,1,801305,8013051
161,38.75716,-76.966025,ALLENTOWN RD + THORNKNOLL DR,"W14, W14v2",3002807,2010,2,801305,8013052
162,38.803318,-76.991844,OXON HILL RD + LIVINGSTON RD,"NH1, W14, W14v2",3002808,1008,1,801405,8014051
163,38.760798,-77.005859,FORT FOOTE RD S + SHADY TREE CT,P18,3002810,1000,1,801410,8014101
164,38.737358,-77.002927,FORT WASHINGTON RD + WARBURTON OAKS DR,"P18, P19",3002811,1029,1,801307,8013071
165,38.737563,-77.002647,FORT WASHINGTON RD + RIVERVIEW RD,"P18, P19",3002812,2012,2,801307,8013072
166,38.724742,-76.9947,FT WASHINGTON LOT + BUS BAY A,P18,3002813,2008,2,801307,8013072
167,38.72473,-76.99482900000001,FT WASHINGTON LOT + BUS BAY B,P19,3002814,2008,2,801307,8013072
168,38.724084000000005,-76.996481,SWAN CREEK RD E + PROXMIRE DR,P19,3002815,2008,2,801307,8013072
169,38.724361,-76.999119,SWAN CREEK RD E + ASBURY DR,P19,3002816,2029,2,801307,8013072
170,38.725139,-77.00441500000001,SWAN CREEK RD E + FORT WASHINGTON RD,P19,3002817,2030,2,801307,8013072
171,38.724979,-77.004361,SWAN CREEK RD E + FORT WASHINGTON RD,P19,3002818,1005,1,801308,8013081
172,38.724252,-76.999205,SWAN CREEK RD E + ASBURY DR,P19,3002819,1005,1,801308,8013081
173,38.723886,-76.996662,SWAN CREEK RD E + PROXMIRE DR,P19,3002820,1002,1,801308,8013081
174,38.887513,-76.8843,CENTRAL AVE + PEPPER MILL DR,"C21, C21v1, C21v2, C22, C22v1, C29*4, C29/, V12, V14",3002822,2004,2,802804,8028042
175,38.853874,-76.906233,OLD SILVER HILL RD + KENTUCKY AVE,P12,3002824,2024,2,802407,8024072
176,38.844299,-76.931741,SUITLAND STATION + BUS BAY M,P12,3002827,1087,1,802405,8024051
177,38.832965,-76.982244,WHEELER HILLS RD + #4551,P12,3002829,3004,3,801807,8018073
178,38.820153000000005,-76.988896,KENNEBEC ST + OWENS RD,P12,3002831,1003,1,801707,8017071
179,38.819122,-77.002652,EASTOVER SHOPPING CENTER + #5035B,P12,3002832,2002,2,801500,8015002
180,38.840565000000005,-76.975944,SOUTHERN AVE STATION + BUS BAY C,"W1, W2v5, W2v7",3002833,2002,2,801807,8018072
181,38.834824,-76.9818,FOREST HILLS APARTMENT + RENTAL OFFICE,P12,3002834,2005,2,801807,8018072
182,38.833843,-76.981487,FOREST HILLS APARTMENT + #1417,P12,3002835,3005,3,801807,8018073
183,38.833075,-76.982407,WHEELER HILLS RD + #4551,P12,3002836,3010,3,801807,8018073
184,38.830859999999994,-76.983239,WHEELER RD + VERMILLION AVE,P12,3002838,1000,1,801704,8017041
185,38.82821,-76.978898,WHEELER RD + CALAIS CT,P12,3002839,3008,3,801807,8018073
186,38.830829,-76.963486,IVERSON ST + 21ST AVE,P12,3002842,2022,2,801808,8018082
187,38.831804,-76.961736,IVERSON ST + 22ND AVE,P12,3002843,2014,2,801808,8018082
188,38.844491,-76.931945,SUITLAND STATION + BUS BAY L,V12,3002844,1087,1,802405,8024051
189,38.849125,-76.924126,SILVER HILL RD + SUITLAND RD,"K12, K12v2, P12, P12v1, P12v2",3002845,2018,2,802002,8020022
190,38.85501,-76.901653,OLD SILVER HILL RD + PARKLAND DR,"P12, P12v1, P12v2",3002847,1017,1,802103,8021031
191,38.855515999999994,-76.899035,COUNTY RD + FOSTER ST,"P12, P12v1, P12v2",3002848,1027,1,802301,8023011
192,38.864232,-76.89453,WALKER MILL RD + ROCHELL AVE,"P12, P12v1, P12v2",3002849,2001,2,802404,8024042
193,38.86784,-76.891699,WALKER MILL RD + ADDISON RD S,V12,3002850,3010,3,802404,8024043
194,38.869640999999994,-76.889943,WALKER MILL RD + #6809,V12,3002852,3000,3,802404,8024043
195,38.870472,-76.887632,WALKER MILL RD + KAREN BLVD,V12,3002853,3000,3,802404,8024043
196,38.874744,-76.881118,SHADY GLEN DR + WALKER MILL RD,V12,3002856,3035,3,802804,8028043
197,38.878042,-76.880516,SHADY GLEN DR + BEECHNUT RD,V12,3002857,3020,3,802804,8028043
198,38.881478,-76.877641,SHADY GLEN DR + MILLRACE RD,V12,3002858,3020,3,802804,8028043
199,38.884524,-76.876873,SHADY GLEN DR + MILLWOOF DR,V12,3002859,3020,3,802804,8028043
200,38.88745,-76.876983,SHADY GLEN DR + WALKER MILL DR,V12,3002860,3020,3,802804,8028043
201,38.888055,-76.88211700000001,CENTRAL AVE + GENTRY LN,"C21, C21v1, C22, C22v1, C29*1, C29*2, C29*4, V12, V14, V14v1",3002862,3016,3,802805,8028053
202,38.887766,-76.889363,CENTRAL AVE + CINDY LN,"C21, C21v1, C22, C22v1, C29*1, C29*2, C29*4, V12, V14, V14v1",3002865,2005,2,802805,8028052
203,38.887504,-76.893754,CENTRAL AVE + SOPER LN,"C21, C21v1, C22, C22v1, C29*1, C29*2, C29*4, V12, V14, V14v1",3002866,2010,2,802901,8029012
204,38.948597,-76.872286,NEW CARROLLTON STATION + BUS BAY K,"F13, F13v1, F13v2, F13v3, T14, T14v1, T18, T18v1",3002867,1011,1,803612,8036121
205,38.951127,-76.873008,HARKINS RD + #7900,"B24, B24v1, B27, F13, F13v1, F13v2, F13v3, F4, F4v2, F6, F6v2, G12, G14, G14v2, T18",3002868,1004,1,803612,8036121
206,38.945766,-76.897018,ANNAPOLIS RD + 69TH PL,"F13, F13v3, T18",3002870,1016,1,803801,8038011
207,38.947454,-76.91517900000001,EMERSON ST + 57TH AVE,T18,3002874,1000,1,804001,8040011
208,38.946408,-76.916499,57TH AVE + EMERSON ST,T18,3002875,1000,1,804002,8040021
209,38.943863,-76.917158,57TH AVE + BLADENSBURG HIGH SCHOOL,"T18, T18v1",3002876,1000,1,804002,8040021
210,38.942551,-76.917259,57TH AVE + 58TH AVE,"T18, T18v1",3002877,1013,1,804002,8040021
211,38.936426000000004,-76.952057,38TH AVE + PARKWOOD ST,"F1, F2, F2v2, T14, T14v1, T18",3002879,2016,2,804400,8044002
212,38.935094,-76.950274,BLADENSBURG RD + 38TH AVE,"B9, F1, F2, F2v2, T14, T14v1, T18",3002880,1023,1,804400,8044001
213,38.936153999999995,-76.947859,BLADENSBURG RD + 40TH PL,"F1, F2, F2v2, T14, T14v1, T18",3002881,1017,1,804400,8044001
214,38.936793,-76.946404,BLADENSBURG RD + 42ND AVE,"F1, F2, F2v2, T14, T14v1, T18",3002882,1014,1,804400,8044001
215,38.939048,-76.93990500000001,ANNAPOLIS RD + 46TH ST,"F1, F2, F2v2, F8, T14, T14v1, T18",3002883,2052,2,804002,8040022
216,38.939440000000005,-76.93142399999999,ANNAPOLIS RD + BLADENSBURG ELEMENTARY SCHOOL,"F1, F2, F2v2, F8, T18",3002884,2072,2,804002,8040022
217,38.939009000000006,-76.92703,ANNAPOLIS RD + 54TH ST,"F1, F2, F2v2, F8",3002885,1009,1,804300,8043001
218,38.946809,-76.89214,ANNAPOLIS RD + 72ND AVE,"F13, F13v1, T18, T18v1",3002886,2001,2,803700,8037002
219,38.948147,-76.872912,NEW CARROLLTON STATION + BUS BAY G,"B24, B24v1, B27",3002887,1011,1,803612,8036121
