[["B01003_001E","B01003_001M","B00001_001E","B19301_001E","B19301_001M","B19013_001E","B19013_001M","B01002_001E","B01002_001M","B25001_001E","B25001_001M","B00002_001E","state","county","tract"],
["6651","654","346","90047","14796","97596","10445","32.3","1.2","4820","123","216","11","001","005500"],
["6061","659","351","71621","14494","64446","13237","27.7","1.6","4310","149","202","11","001","005600"],
["2678","236","243","102737","13744","123500","20961","34.4","1.3","2181","108","181","11","001","005800"],
["3452","373","334","45022","5783","84375","8730","30.0","3.1","1676","108","148","11","001","005900"],
["0","13","0","-666666666","-222222222","-666666666","-222222222","-666666666.0","-222222222.0","0","13","0","11","001","006202"],
["1821","234","132","17425","3398","22599","2431","36.0","5.7","1105","41","85","11","001","006400"],
["2591","222","236","78402","6252","140243","14227","36.5","2.9","1585","41","132","11","001","006500"],
["1919","254","170","110179","20059","139250","27495","34.7","4.3","1174","42","98","11","001","006600"],
["4139","317","349","83543","8586","141150","17787","37.7","2.2","1994","58","173","11","001","006700"],
["1998","246","221","45259","6125","89265","13131","36.6","5.8","997","82","112","11","001","006801"],
["2452","263","227","41895","5451","103114","7614","35.7","4.5","1003","54","104","11","001","006802"],
["2769","292","373","3981","1292","-666666666","-222222222","33.9","5.8","0","13","0","11","001","006804"],
["2366","153","181","60134","6000","115139","21849","36.5","2.9","1190","28","94","11","001","006900"],
["2566","354","236","69923","11978","110192","17440","34.3","4.1","1263","46","101","11","001","007000"],
["3267","324","233","32360","5935","55677","22974","30.8","3.6","1366","47","109","11","001","007100"],
["2817","416","206","53934","8147","89181","6952","31.4","2.2","1694","94","134","11","001","007200"],
["3170","646","362","24965","3742","66250","14823","22.7","1.3","944","112","91","11","001","007301"],
["3744","474","250","19229","3052","33341","12352","34.3","4.6","1405","98","95","11","001","007304"],
["2327","390","194","10413","2489","13730","5672","26.4","4.2","1020","20","89","11","001","007401"],
["3273","420","195","14196","2599","30000","3979","27.1","2.4","1240","36","81","11","001","007403"],
["3476","365","190","17109","5675","29454","6228","25.4","7.2","1561","78","92","11","001","007404"],
["3431","473","208","11660","1963","29963","9497","21.4","3.3","1139","46","74","11","001","007406"],
["2404","274","162","24605","5218","37269","5625","34.2","4.0","1209","43","85","11","001","007407"],
["3379","469","247","11320","2863","18630","4635","25.1","2.8","1252","38","90","11","001","007408"],
["3788","427","226","15591","2691","25474","7058","27.3","4.3","1564","28","103","11","001","007409"],
["4686","617","287","16671","6563","28804","12919","26.5","4.3","1964","67","125","11","001","007502"],
["2545","273","212","13737","2429","32262","8813","26.7","6.2","1047","36","93","11","001","007503"],
["2475","447","152","13902","3661","18924","8483","29.1","4.7","1321","57","89","11","001","007504"],
["4314","552","221","26861","6056","42121","4030","43.1","4.3","2308","52","118","11","001","007601"],
["3606","441","152","36861","5638","48674","5218","48.8","4.1","2313","88","100","11","001","007603"],
["3476","328","254","32010","3757","53323","5782","45.7","3.4","2001","47","151","11","001","007604"],
["3763","496","251","22881","3910","42863","4447","38.6","8.3","1832","63","136","11","001","007605"],
["5455","691","228","21034","3142","35496","6193","31.4","2.6","2423","87","108","11","001","007703"],
["4287","491","294","22853","4226","50091","5296","34.4","5.1","1728","80","127","11","001","007707"],
["2704","346","180","18568","3963","27256","11205","37.7","5.3","1333","24","87","11","001","007708"],
["1597","307","116","24484","5085","32725","8099","47.3","9.8","1142","49","73","11","001","007709"],
["2774","408","180","21022","3638","25000","3153","42.1","6.7","1585","99","103","11","001","007803"],
["3087","578","212","20233","3952","29320","9506","34.6","4.6","1332","98","82","11","001","007804"],
["2213","323","164","24981","6776","39632","10427","40.7","4.4","1112","44","88","11","001","007806"],
["2271","313","202","14585","2739","21813","6280","34.7","7.9","964","17","82","11","001","007807"],
["4537","736","196","18279","4005","38929","12850","24.3","3.8","1538","109","83","11","001","007808"],
["2575","442","172","17865","3029","33297","16275","37.6","5.5","1373","59","87","11","001","007809"],
["4205","459","246","25694","3605","33569","7126","33.3","3.1","1769","66","126","11","001","007901"],
["1573","223","157","24366","4870","40577","5881","40.3","7.2","930","20","95","11","001","007903"],
["2735","265","233","48470","5064","92500","12255","34.3","3.3","1393","30","113","11","001","008001"],
["3671","267","312","55957","6098","102784","11931","35.2","1.1","1676","31","145","11","001","008002"],
["3399","424","257","63543","9255","125518","21974","30.7","3.5","1479","64","120","11","001","008100"],
["2937","318","266","81267","15250","94342","7365","32.3","4.3","1623","74","133","11","001","008200"],
["2696","290","194","63125","7560","110875","25879","31.8","4.7","1161","55","95","11","001","008301"],
["2347","245","248","62803","11024","108750","28849","33.5","3.6","1021","41","106","11","001","008302"],
["2157","365","180","43667","6722","80143","21218","36.1","5.9","1222","53","99","11","001","008402"],
["1388","296","134","38254","6764","98750","8069","34.3","3.6","658","46","60","11","001","008410"],
["2125","291","227","30872","5365","52188","13521","40.3","6.8","984","50","103","11","001","008701"],
["1884","265","163","28266","4241","55441","17217","35.6","3.7","870","45","78","11","001","008702"],
["4521","496","362","25305","5041","39583","7604","35.9","4.7","2087","35","168","11","001","008802"],
["2142","428","191","12842","3005","24667","14124","24.8","5.2","683","24","49","11","001","008803"],
["2834","511","155","17654","4361","28023","10098","40.0","3.2","1504","43","87","11","001","008804"],
["2690","376","160","17914","2838","30440","14401","34.2","6.6","1511","26","82","11","001","008903"],
["3212","379","215","19178","3050","26587","10582","42.6","3.4","1868","69","129","11","001","008904"],
["2781","335","198","38772","6952","35769","11311","50.6","4.3","1785","30","144","11","001","009000"],
["4849","561","357","17411","2127","33438","9961","32.5","4.4","1854","66","136","11","001","009102"],
["1786","303","198","26551","6520","54044","7496","27.6","7.9","652","19","61","11","001","009201"],
["2592","474","152","32503","6023","46958","13530","29.9","7.0","1322","20","81","11","001","009203"],
["2612","252","177","17160","3350","25341","6493","39.0","6.1","1445","32","100","11","001","009204"],
["3210","319","239","40449","6717","76599","13558","41.8","3.9","1218","55","82","11","001","009301"],
["1151","209","128","34460","5133","65931","9636","41.7","3.3","529","43","52","11","001","009302"],
["4136","574","293","37385","9631","66500","8899","46.0","5.2","1842","42","140","11","001","009400"],
["6426","567","573","17145","3282","40760","4054","23.0","2.6","1986","73","125","11","001","009501"],
["3151","247","249","33416","3692","78571","6929","47.8","7.5","1250","46","100","11","001","009503"],
["2829","276","229","29776","4838","54107","7099","45.9","2.9","1380","52","103","11","001","009504"],
["2802","370","173","31648","4693","71546","8584","45.2","6.8","1219","45","83","11","001","009505"],
["1443","174","116","33285","6731","48974","4182","50.2","2.0","644","18","61","11","001","009507"],
["3242","453","226","30556","4154","53860","8343","43.2","6.3","1591","79","119","11","001","009508"],
["3057","345","197","31374","3810","67877","11274","44.9","9.1","1307","32","98","11","001","009509"],
["2715","578","155","17776","6390","35754","12832","26.0","8.3","821","55","62","11","001","009601"],
["2928","454","159","13762","2841","20773","4244","29.2","7.5","1581","43","91","11","001","009602"],
["2894","375","197","28045","6355","40666","6424","44.0","5.0","1733","63","123","11","001","009603"],
["2076","235","169","28730","5103","45903","5519","46.5","5.9","1027","23","101","11","001","009604"],
["2822","655","160","17728","5639","27008","9991","29.4","8.4","1234","87","70","11","001","009700"],
["1767","428","141","12382","3862","29276","7498","26.0","2.6","814","49","79","11","001","009801"],
["1209","307","102","13253","3745","23438","8163","28.8","10.1","806","73","68","11","001","009802"],
["2471","303","162","15329","2203","18936","11347","32.2","4.5","1425","67","101","11","001","009803"],
["2777","494","190","22427","4398","51776","12038","29.0","4.7","1050","50","92","11","001","009804"],
["3109","328","222","22605","3647","39063","9223","39.8","3.4","1659","28","110","11","001","009807"],
["2199","407","104","14448","3706","26667","3955","26.1","7.8","1196","78","51","11","001","009810"],
["4121","596","157","12773","3012","24741","10216","25.3","3.7","2016","75","85","11","001","009811"],
["2227","237","199","48182","5445","83934","10158","52.7","4.2","1101","24","98","11","001","009901"],
["2718","250","166","28711","5750","53776","12952","45.8","3.0","1334","22","85","11","001","009902"],
["1319","244","110","32342","9132","55665","4917","44.1","8.5","823","123","57","11","001","009903"],
["1508","276","113","22162","4629","37083","8949","35.7","4.1","1124","49","79","11","001","009904"],
["2510","384","189","20820","4478","37256","7194","34.5","7.9","1349","46","99","11","001","009905"],
["1455","244","117","19733","4494","40926","7576","36.5","4.8","737","66","63","11","001","009906"],
["2683","431","167","15435","3132","23964","4530","26.1","6.7","1200","44","80","11","001","009907"],
["2600","290","190","64510","11478","59333","11146","33.9","2.3","2036","45","150","11","001","010100"],
["2436","253","195","66863","8645","82656","11386","39.8","3.8","1799","100","139","11","001","010200"],
["3262","505","279","34142","7217","58750","8166","40.1","4.6","1300","50","96","11","001","010300"],
["4368","589","287","18307","2906","40025","13256","35.8","2.4","1799","85","108","11","001","010400"],
["4178","419","239","50829","5778","67235","12156","36.3","2.4","2564","52","140","11","001","010500"],
["4050","392","311","44427","5685","80888","11993","30.8","2.2","1921","76","160","11","001","010600"],
["2020","253","197","66554","12802","79076","28618","27.9","2.7","1436","46","120","11","001","010700"],
["6471","799","785","7391","1556","20673","11009","19.9","0.4","1131","48","99","11","001","010800"],
["3470","475","227","14338","3482","32143","9559","23.5","2.4","1430","41","101","11","001","010900"],
["3384","402","204","68731","8693","90637","9609","50.7","3.1","2935","89","151","11","001","011000"],
["4811","605","425","29106","3186","58824","8442","43.4","5.5","1872","53","160","11","001","011100"]]
