[["B01003_001E","B01003_001M","B00001_001E","B19301_001E","B19301_001M","B19013_001E","B19013_001M","B01002_001E","B01002_001M","B25001_001E","B25001_001M","B00002_001E","state","county","tract"],
["2758","361","195","33614","5646","74637","17394","32.5","2.0","1099","92","82","11","001","003100"],
["4550","452","296","30528","4199","62361","15489","35.6","4.1","1884","77","125","11","001","003200"],
["2840","450","202","55375","12375","86101","10089","36.0","3.9","1490","47","100","11","001","003301"],
["2352","242","212","42603","4812","97216","21685","33.3","2.3","1009","50","96","11","001","003302"],
["5526","578","414","17800","3257","46365","7578","20.8","0.7","1343","102","85","11","001","003400"],
["3441","1059","185","22567","6115","63510","31661","23.6","3.6","1142","50","83","11","001","003500"],
["4204","387","253","39697","5152","47656","7553","33.9","2.1","2181","98","128","11","001","003600"],
["5068","732","258","31194","4213","60324","8078","29.0","2.3","2566","123","123","11","001","003700"],
["4391","402","235","56479","6687","79120","11258","33.7","1.8","2830","135","146","11","001","003800"],
["4584","373","227","57900","5208","76107","10241","34.5","1.4","2973","89","150","11","001","003900"],
["3301","302","207","79199","9149","98425","7884","37.8","1.7","2340","126","133","11","001","004001"],
["2338","296","222","77874","7783","89189","15718","34.8","2.3","1824","107","155","11","001","004002"],
["2767","264","232","100415","20830","105341","18850","43.1","3.9","1753","40","134","11","001","004100"],
["3430","261","216","79543","12637","89353","15661","31.3","0.9","2197","67","140","11","001","004201"],
["2451","239","223","85660","9159","81326","11023","32.5","1.5","1878","98","151","11","001","004202"],
["2851","471","151","52426","11335","64959","15180","36.3","4.0","2007","124","104","11","001","004300"],
["5114","377","250","61141","6610","101853","14610","34.0","3.0","2544","111","136","11","001","004400"],
["2536","359","162","39621","6539","78257","22439","35.2","5.3","1369","72","90","11","001","004600"],
["2959","435","148","33443","7628","19572","15101","29.9","2.4","1981","133","86","11","001","004701"],
["1470","249","96","46659","9460","70490","15799","38.1","10.2","979","58","45","11","001","004702"],
["1784","253","136","52513","9747","82866","6436","39.4","1.9","1119","75","85","11","001","004801"],
["3029","462","181","41196","8214","57943","20656","35.2","5.0","1424","77","95","11","001","004802"],
["2314","316","138","35697","6684","50948","18505","31.1","4.2","1098","47","63","11","001","004901"],
["2849","285","215","59162","7129","89267","19831","29.8","1.6","1586","80","121","11","001","004902"],
["1829","273","97","95705","30206","135313","44562","35.7","1.6","999","54","50","11","001","005001"],
["6054","573","264","61379","9268","81744","18780","34.2","3.0","3786","102","174","11","001","005002"],
["5501","433","313","87789","11194","72340","11186","33.4","2.0","4472","139","239","11","001","005201"],
["5107","518","287","77179","7923","93006","7837","32.9","2.0","3726","125","204","11","001","005301"],
["6424","564","368","85501","14799","94489","10374","33.0","2.5","4671","154","236","11","001","005500"],
["5504","624","313","64989","12962","64028","13348","28.6","3.3","4203","145","197","11","001","005600"],
["2784","261","244","101639","13225","120329","22567","34.3","1.4","2169","107","178","11","001","005800"],
["3663","428","346","39186","5675","83911","8783","31.9","2.7","1648","101","133","11","001","005900"],
["0","95","0","-666666666","-222222222","-666666666","-222222222","-666666666.0","-222222222.0","0","95","0","11","001","006202"],
["1710","235","100","18912","4913","20965","2795","39.7","3.9","1105","43","70","11","001","006400"],
["2508","289","212","74754","6343","127963","21128","33.2","2.9","1519","73","123","11","001","006500"],
["1851","266","176","94922","16072","123170","28889","32.9","2.8","1175","39","97","11","001","006600"],
["4094","320","339","78555","7667","145313","10290","37.7","1.8","1998","54","167","11","001","006700"],
["2035","246","188","40823","5336","83618","12762","36.4","6.1","995","70","92","11","001","006801"],
["2332","287","190","41804","5158","99500","9039","34.7","4.5","1004","51","87","11","001","006802"],
["2511","915","324","4522","1543","-666666666","-222222222","33.0","1.5","27","43","1","11","001","006804"],
["2343","230","167","73510","18035","118500","27153","36.5","3.3","1170","37","86","11","001","006900"],
["2572","298","239","67555","7803","102054","21275","32.2","2.9","1256","47","97","11","001","007000"],
["3103","326","211","30895","4638","39861","38346","31.2","4.1","1362","48","96","11","001","007100"],
["1863","321","135","48635","9174","80313","11925","31.3","4.3","1275","113","94","11","001","007200"],
["2842","649","301","22877","2141","66990","6776","23.2","1.5","993","140","77","11","001","007301"],
["3528","452","243","19334","3554","32000","17511","35.7","4.6","1388","95","94","11","001","007304"],
["2124","382","151","11387","2988","16000","10364","28.4","5.4","1031","19","72","11","001","007401"],
["3442","531","182","15467","2880","31647","4418","25.2","3.2","1274","43","72","11","001","007403"],
["3315","344","210","15243","4361","26681","6495","24.0","9.5","1517","95","94","11","001","007404"],
["3123","437","196","11730","2385","27333","11981","22.3","7.2","1140","47","71","11","001","007406"],
["2728","358","166","22425","4153","36332","5640","29.8","4.8","1226","48","83","11","001","007407"],
["3012","500","219","11881","2822","19175","1851","25.3","2.9","1258","40","85","11","001","007408"],
["3840","452","217","14555","2902","25369","4904","25.1","3.2","1586","39","98","11","001","007409"],
["4302","575","258","19832","8116","31458","7081","29.2","3.2","1944","92","112","11","001","007502"],
["2427","367","186","13510","2030","30313","9416","30.2","7.1","1040","47","85","11","001","007503"],
["2379","343","143","15039","3289","19519","6923","31.6","5.2","1334","57","81","11","001","007504"],
["3820","454","227","23212","2794","40681","4863","46.0","6.2","2251","78","119","11","001","007601"],
["4122","483","161","33117","4128","49458","5617","45.8","3.9","2314","85","97","11","001","007603"],
["3501","307","243","31346","3617","51074","5087","46.6","3.6","2004","59","136","11","001","007604"],
["3640","516","223","23083","4201","41773","5879","41.4","4.9","1853","76","128","11","001","007605"],
["5690","815","233","19524","3872","32220","8683","29.4","6.5","2449","70","110","11","001","007703"],
["3829","462","273","22216","3470","46680","7573","34.3","4.4","1655","99","120","11","001","007707"],
["2821","376","174","18288","4245","29063","11659","33.3","7.2","1318","40","81","11","001","007708"],
["1698","343","104","24643","5287","28490","11385","39.0","7.0","1168","64","62","11","001","007709"],
["2945","382","192","20398","3389","25577","7034","39.7","5.2","1628","68","111","11","001","007803"],
["3020","510","212","18282","3979","26833","5078","35.3","4.5","1334","89","84","11","001","007804"],
["2341","278","156","22437","5608","42390","7721","38.1","7.3","1092","67","78","11","001","007806"],
["2108","323","162","15953","3007","26989","8886","36.3","4.9","937","45","67","11","001","007807"],
["3989","546","225","14158","3212","24375","6760","23.2","3.0","1525","121","90","11","001","007808"],
["2627","431","165","17523","3936","21332","11393","36.8","6.1","1351","70","85","11","001","007809"],
["3953","525","216","25689","5814","31765","11979","33.2","3.8","1767","69","117","11","001","007901"],
["1457","211","122","34584","13286","43000","4966","46.5","6.2","889","54","76","11","001","007903"],
["2672","268","201","51797","5613","94931","11915","34.7","3.9","1371","33","100","11","001","008001"],
["3601","317","274","51739","5810","96385","6989","34.6","1.3","1640","71","134","11","001","008002"],
["3314","447","254","67696","9694","128523","13519","30.7","2.4","1510","63","122","11","001","008100"],
["2767","271","249","79951","17331","85484","15388","30.8","2.7","1599","91","131","11","001","008200"],
["2543","346","178","69361","9857","121058","32577","31.4","5.5","1196","60","89","11","001","008301"],
["2233","177","214","62322","11164","96823","19945","32.3","2.0","1037","24","91","11","001","008302"],
["2183","273","181","38046","4916","64261","17796","34.5","4.5","1249","59","96","11","001","008402"],
["1423","306","117","40647","9101","104710","11479","35.4","2.5","641","57","48","11","001","008410"],
["2046","294","179","29634","4597","54750","11985","33.8","3.8","957","63","84","11","001","008701"],
["1611","247","123","28441","5037","51650","15260","35.9","3.5","878","57","58","11","001","008702"],
["4388","562","334","25412","5142","41746","4833","37.7","6.6","2040","67","159","11","001","008802"],
["2030","498","181","12541","3108","27344","23672","22.4","7.3","653","49","48","11","001","008803"],
["3056","469","151","17627","4617","26615","11040","41.3","3.1","1557","25","86","11","001","008804"],
["2578","328","155","18973","2846","30020","9128","34.2","8.0","1485","54","81","11","001","008903"],
["3354","381","214","19298","2901","27601","6852","43.6","5.5","1902","67","125","11","001","008904"],
["2793","340","188","37899","6578","32287","11386","49.1","6.5","1721","36","132","11","001","009000"],
["4827","545","335","16754","2269","31544","11798","35.4","3.9","1841","71","130","11","001","009102"],
["1560","339","162","22671","6236","41902","10690","25.8","5.6","617","40","52","11","001","009201"],
["3039","468","153","29489","5319","46159","10837","26.3","4.2","1373","44","83","11","001","009203"],
["2798","367","174","18050","2799","31290","12370","39.5","4.6","1446","53","96","11","001","009204"],
["3009","400","231","41729","6928","75833","14540","41.5","4.5","1216","68","81","11","001","009301"],
["1090","225","118","34414","5941","65700","10043","42.5","5.4","537","47","47","11","001","009302"],
["3991","347","279","39601","8071","69639","9183","44.8","4.8","1870","42","136","11","001","009400"],
["6243","691","517","17670","4314","40528","8024","22.1","2.0","2057","66","115","11","001","009501"],
["2775","249","235","37109","4050","77451","11944","46.5","10.2","1255","56","95","11","001","009503"],
["2996","413","241","26756","4567","52095","6138","44.5","3.1","1392","51","101","11","001","009504"],
["2533","253","165","32089","4226","66591","9059","48.5","2.6","1202","55","82","11","001","009505"],
["1724","288","123","29653","6343","52981","19760","46.4","6.4","667","22","52","11","001","009507"],
["3258","463","204","29242","4372","51525","5532","40.3","7.5","1573","74","107","11","001","009508"],
["3140","289","202","34003","7037","66341","14548","44.9","6.9","1298","35","96","11","001","009509"],
["2874","396","126","16262","4867","45000","12372","17.7","14.0","877","34","52","11","001","009601"],
["2792","426","148","15357","3410","25307","6640","28.8","7.8","1588","28","90","11","001","009602"],
["3027","418","185","27474","4695","41898","6306","40.3","4.6","1741","63","112","11","001","009603"],
["2050","200","161","24987","4297","43588","6753","47.8","3.5","1022","24","85","11","001","009604"],
["2454","533","155","18457","4438","30821","8530","33.3","8.1","1159","107","70","11","001","009700"],
["1588","519","108","13518","5835","28900","8413","25.4","4.3","786","50","64","11","001","009801"],
["1288","340","90","11910","3131","24464","7131","25.5","5.6","790","65","56","11","001","009802"],
["2352","346","151","16746","2734","26471","11373","31.9","6.8","1436","58","95","11","001","009803"],
["2879","561","161","21166","4918","50156","13143","27.2","3.8","1068","63","78","11","001","009804"],
["3414","331","202","21482","2937","38500","14790","39.4","3.2","1685","33","99","11","001","009807"],
["2303","386","96","12732","2075","26515","2750","26.0","5.2","1212","83","45","11","001","009810"],
["3859","625","145","13033","3007","25750","10534","25.9","5.0","1973","123","78","11","001","009811"],
["2069","220","193","45888","4808","80036","5367","52.7","4.3","1107","31","99","11","001","009901"],
["2788","394","172","29053","6125","52379","10855","45.7","5.8","1289","52","85","11","001","009902"],
["1373","209","99","28119","7309","54667","7151","41.1","7.6","803","126","51","11","001","009903"],
["1717","310","102","18468","4123","37931","9032","34.5","4.8","1075","56","64","11","001","009904"],
["2544","339","169","20937","4067","36185","7736","36.1","6.5","1366","49","91","11","001","009905"],
["1516","257","105","20647","3933","40085","11333","41.2","4.4","823","58","58","11","001","009906"],
["2596","360","159","15973","3878","24459","6046","28.9","7.9","1222","41","78","11","001","009907"],
["2455","249","169","61413","9255","56771","9218","32.7","2.1","1997","58","131","11","001","010100"],
["2616","273","199","65676","8210","76414","6861","40.2","3.4","1944","98","137","11","001","010200"],
["3538","654","274","31748","6877","55910","6363","38.1","5.9","1302","77","87","11","001","010300"],
["3995","532","272","17639","2318","29873","13910","35.7","5.5","1864","81","108","11","001","010400"],
["4003","428","230","50540","6314","59583","13684","36.1","3.3","2588","141","135","11","001","010500"],
["3901","443","265","38677","6246","76680","11730","32.4","4.1","1671","103","132","11","001","010600"],
["2100","293","198","59212","13023","59522","11582","27.4","2.0","1458","52","120","11","001","010700"],
["6431","1255","704","6794","1702","13672","5129","20.0","0.5","1184","71","95","11","001","010800"],
["3169","614","219","15977","4261","29667","7265","24.1","2.8","1422","55","97","11","001","010900"],
["3793","555","208","56934","9885","74500","10625","49.8","2.1","3022","90","151","11","001","011000"],
["4655","601","376","30639","3334","60268","9904","45.3","4.5","1872","58","149","11","001","011100"]]
