[["B01003_001E","B00001_001E","B19301_001E","B19013_001E","B01002_001E","B25001_001E","B00002_001E","state","county","tract"],
["3160","329","49478","83977","29.5","1584","147","11","001","005900"],
["0","0","-666666666","-666666666","-666666666.0","0","0","11","001","006202"],
["2165","182","14945","20321","33.4","1167","104","11","001","006400"],
["2471","238","78062","132794","36.3","1523","137","11","001","006500"],
["1869","188","110577","158286","38.8","1139","100","11","001","006600"],
["3979","362","82073","137143","37.4","1925","174","11","001","006700"],
["2005","237","46252","85114","34.5","951","119","11","001","006801"],
["2256","255","48416","104239","36.3","1014","121","11","001","006802"],
["2958","440","5291","-666666666","33.9","0","0","11","001","006804"],
["2388","182","67166","111667","38.9","1236","98","11","001","006900"],
["2476","245","70372","98281","34.1","1249","106","11","001","007000"],
["3270","244","37834","72941","32.9","1422","115","11","001","007100"],
["3485","270","55861","91458","31.0","1974","166","11","001","007200"],
["3282","360","25127","72629","23.0","1002","95","11","001","007301"],
["3708","256","16642","23867","34.1","1381","100","11","001","007304"],
["2524","234","10071","15393","25.3","1051","104","11","001","007401"],
["3412","195","12107","27652","24.0","1169","75","11","001","007403"],
["3425","193","15867","28347","25.0","1533","91","11","001","007404"],
["3389","199","10099","21484","19.8","1095","72","11","001","007406"],
["2601","177","24277","37586","33.9","1304","94","11","001","007407"],
["3050","263","13258","25058","29.4","1266","103","11","001","007408"],
["3963","228","14747","26862","25.7","1628","113","11","001","007409"],
["4951","301","16050","19559","29.3","1938","125","11","001","007502"],
["2416","231","15968","33512","27.1","1072","105","11","001","007503"],
["2281","155","15371","17372","28.5","1332","90","11","001","007504"],
["4130","228","26921","43256","43.6","2311","124","11","001","007601"],
["3362","152","39561","53701","49.4","2293","96","11","001","007603"],
["3441","260","29935","52764","45.4","1984","150","11","001","007604"],
["3666","267","22950","42222","41.5","1850","144","11","001","007605"],
["5216","201","20563","31737","32.7","2455","102","11","001","007703"],
["4263","280","23292","49068","33.7","1762","130","11","001","007707"],
["2793","182","15863","26761","36.7","1318","84","11","001","007708"],
["1632","142","23392","33396","48.4","1153","85","11","001","007709"],
["2902","189","21046","32750","42.2","1634","105","11","001","007803"],
["3240","220","22659","36484","40.5","1350","83","11","001","007804"],
["2127","196","20739","37755","40.9","1095","100","11","001","007806"],
["2229","218","16690","28854","35.8","965","90","11","001","007807"],
["4701","211","15046","31037","22.7","1588","89","11","001","007808"],
["2708","190","19702","34054","37.4","1372","90","11","001","007809"],
["4328","269","25201","38155","33.7","1815","136","11","001","007901"],
["1634","183","24399","42219","40.9","926","108","11","001","007903"],
["2706","227","58435","100969","36.0","1387","112","11","001","008001"],
["3694","342","56664","108478","35.4","1638","153","11","001","008002"],
["3296","266","70050","127179","33.4","1486","128","11","001","008100"],
["3004","290","74432","92385","30.4","1604","136","11","001","008200"],
["2683","218","61675","130536","32.2","1136","99","11","001","008301"],
["2376","289","63519","116875","33.4","1030","123","11","001","008302"],
["2168","169","48397","88516","39.1","1204","98","11","001","008402"],
["1404","155","42669","102900","33.0","639","69","11","001","008410"],
["2333","262","32411","57212","36.6","998","121","11","001","008701"],
["2122","169","27226","54259","33.9","850","82","11","001","008702"],
["4483","354","25585","39613","38.5","2077","162","11","001","008802"],
["2099","222","12156","18785","24.1","663","59","11","001","008803"],
["2690","169","19128","27441","40.6","1491","95","11","001","008804"],
["3075","170","21009","34080","35.0","1577","87","11","001","008903"],
["3244","222","20604","30295","41.8","1882","132","11","001","008904"],
["2967","220","38052","31740","49.0","1815","151","11","001","009000"],
["5229","385","17651","35685","28.6","1957","150","11","001","009102"],
["1709","215","25245","50677","32.5","660","68","11","001","009201"],
["2609","159","33686","63073","33.5","1310","81","11","001","009203"],
["2930","188","16585","24489","34.4","1489","104","11","001","009204"],
["3509","246","39752","78415","36.5","1234","85","11","001","009301"],
["1092","128","36788","58424","40.3","526","57","11","001","009302"],
["4295","309","35154","69701","42.8","1838","147","11","001","009400"],
["7006","619","15425","45144","23.4","1989","127","11","001","009501"],
["3257","250","31829","79000","43.9","1290","102","11","001","009503"],
["2847","244","35076","61875","45.9","1397","112","11","001","009504"],
["2708","169","28492","63661","44.7","1203","80","11","001","009505"],
["1546","148","34134","53646","49.6","646","72","11","001","009507"],
["3630","241","28076","54500","38.9","1692","126","11","001","009508"],
["3293","202","29874","62432","38.3","1344","101","11","001","009509"],
["2521","195","16940","26620","23.8","848","75","11","001","009601"],
["3182","181","13391","21927","26.5","1615","98","11","001","009602"],
["2735","185","28409","39268","44.2","1698","118","11","001","009603"],
["2041","182","26055","48641","46.8","1040","110","11","001","009604"],
["2931","171","16706","32595","31.1","1264","77","11","001","009700"],
["2099","160","12663","27100","25.1","871","83","11","001","009801"],
["1203","121","15426","25086","30.0","808","81","11","001","009802"],
["2683","185","14896","19345","32.6","1448","106","11","001","009803"],
["2615","227","21146","44356","27.9","1047","109","11","001","009804"],
["3102","217","25016","35727","40.2","1650","115","11","001","009807"],
["2106","112","17395","28239","30.5","1182","55","11","001","009810"],
["4820","198","11234","25205","23.8","2078","97","11","001","009811"],
["2279","196","46763","86500","51.6","1114","99","11","001","009901"],
["2960","171","22183","42052","41.9","1343","84","11","001","009902"],
["1515","127","34710","62219","44.0","844","65","11","001","009903"],
["1773","152","19751","35478","32.3","1186","100","11","001","009904"],
["2498","205","20308","38310","34.5","1351","99","11","001","009905"],
["1213","133","21069","42240","39.2","729","77","11","001","009906"],
["2773","166","16155","23607","29.7","1214","81","11","001","009907"],
["2443","204","69433","70951","33.9","2035","157","11","001","010100"],
["2576","217","64725","84053","39.6","1724","147","11","001","010200"],
["3162","242","33305","57024","44.2","1287","101","11","001","010300"],
["4178","283","19996","40078","35.8","1764","108","11","001","010400"],
["3660","221","54742","71875","35.5","2376","136","11","001","010500"],
["4651","386","48309","90027","30.6","2254","191","11","001","010600"],
["1814","179","60064","65333","29.2","1359","111","11","001","010700"],
["6615","838","7797","24470","20.0","1064","107","11","001","010800"],
["3949","270","11532","26445","22.2","1419","108","11","001","010900"],
["3381","197","69284","82275","51.0","2730","142","11","001","011000"],
["4702","440","28433","55108","45.8","1863","162","11","001","011100"]]
