[["B01003_001E","B00001_001E","B19301_001E","B19013_001E","B01002_001E","B25001_001E","B00002_001E","state","county","tract"],
["5981","264","65502","91638","35.6","3740","197","11","001","005301"],
["6065","359","76418","88831","34.8","4438","246","11","001","005500"],
["5043","286","65261","61806","31.0","4122","211","11","001","005600"],
["2675","216","99562","119167","32.8","2140","164","11","001","005800"],
["3956","319","37617","66790","35.3","1707","127","11","001","005900"],
["0","0","-666666666","-666666666","-666666666.0","0","0","11","001","006202"],
["1925","108","20922","21191","37.8","1109","67","11","001","006400"],
["2550","189","70956","113542","33.3","1547","112","11","001","006500"],
["1860","157","90385","94878","34.3","1206","91","11","001","006600"],
["4032","333","74689","141004","37.7","2029","165","11","001","006700"],
["1836","139","39363","77955","34.2","1005","69","11","001","006801"],
["2128","144","38105","86719","37.3","961","66","11","001","006802"],
["2496","299","5083","-666666666","34.1","27","1","11","001","006804"],
["2227","161","67857","115299","34.4","1152","84","11","001","006900"],
["2248","193","63176","92656","33.8","1248","94","11","001","007000"],
["3344","218","25619","29493","29.8","1326","92","11","001","007100"],
["1201","76","39944","47885","34.7","961","61","11","001","007200"],
["2664","210","22020","64821","24.9","1112","76","11","001","007301"],
["3562","203","18869","31856","29.4","1415","85","11","001","007304"],
["2242","133","10073","19238","23.6","999","61","11","001","007401"],
["2768","136","17026","27333","27.7","1189","60","11","001","007403"],
["3322","186","12675","26250","19.0","1475","85","11","001","007404"],
["3173","191","11359","27838","21.5","1121","72","11","001","007406"],
["2976","158","20159","36453","28.4","1216","74","11","001","007407"],
["2675","157","11680","17826","26.8","1240","74","11","001","007408"],
["3684","221","16224","26636","24.9","1639","102","11","001","007409"],
["4000","228","15097","31179","29.7","1915","105","11","001","007502"],
["2252","142","15269","31551","33.3","1033","65","11","001","007503"],
["2907","142","13653","20625","28.8","1312","76","11","001","007504"],
["3921","219","22434","37687","45.4","2206","119","11","001","007601"],
["4425","189","31661","49744","41.7","2303","109","11","001","007603"],
["3376","226","27626","43968","48.3","2050","138","11","001","007604"],
["3409","209","23085","42152","42.4","1826","121","11","001","007605"],
["5657","247","19210","31955","27.8","2463","112","11","001","007703"],
["3748","280","22538","38571","33.8","1640","121","11","001","007707"],
["2880","152","17973","35534","32.7","1322","81","11","001","007708"],
["1564","97","24270","25451","47.2","1154","64","11","001","007709"],
["2813","203","19468","22685","37.9","1643","113","11","001","007803"],
["2976","205","18048","25208","35.5","1378","89","11","001","007804"],
["2141","140","19389","42171","38.7","1080","66","11","001","007806"],
["2029","147","16434","27917","37.8","883","57","11","001","007807"],
["3706","204","13950","27531","23.8","1520","89","11","001","007808"],
["2711","140","18740","22109","35.6","1348","79","11","001","007809"],
["3770","187","25815","32692","34.3","1796","107","11","001","007901"],
["1475","87","30132","43304","46.1","902","57","11","001","007903"],
["2514","187","51364","89128","36.0","1345","98","11","001","008001"],
["3566","256","49981","92874","34.4","1687","129","11","001","008002"],
["3440","248","65194","132321","30.9","1514","118","11","001","008100"],
["2774","212","81523","83214","30.7","1622","122","11","001","008200"],
["2357","170","67321","115216","37.3","1199","85","11","001","008301"],
["2017","143","62577","101667","33.5","998","71","11","001","008302"],
["2423","178","31886","54683","40.6","1314","96","11","001","008402"],
["1698","105","38460","96667","35.6","657","42","11","001","008410"],
["2028","136","29039","64464","33.5","936","64","11","001","008701"],
["1713","107","27202","41232","40.0","939","54","11","001","008702"],
["4386","300","24696","38859","35.7","2057","142","11","001","008802"],
["1573","99","14070","37833","28.0","638","41","11","001","008803"],
["2751","146","16736","25978","41.8","1571","89","11","001","008804"],
["2259","137","17934","26556","35.7","1488","86","11","001","008903"],
["3280","191","18566","27620","38.7","1872","117","11","001","008904"],
["2594","171","40250","39653","50.2","1673","127","11","001","009000"],
["4965","295","16211","32806","32.4","1838","125","11","001","009102"],
["1339","97","28091","44939","33.6","594","40","11","001","009201"],
["2541","126","30586","51726","32.4","1358","74","11","001","009203"],
["2425","147","17879","28814","41.2","1396","85","11","001","009204"],
["3485","226","34493","72578","41.8","1276","90","11","001","009301"],
["1217","87","32931","63958","39.7","544","38","11","001","009302"],
["3982","274","36543","70990","45.3","1843","127","11","001","009400"],
["6360","357","15974","40536","20.8","2114","114","11","001","009501"],
["2830","209","33997","70875","51.2","1252","87","11","001","009503"],
["2969","231","28709","50500","44.8","1405","99","11","001","009504"],
["2677","168","30162","62462","47.2","1223","86","11","001","009505"],
["1901","117","28628","62986","46.2","654","42","11","001","009507"],
["3024","188","28382","47410","46.6","1537","103","11","001","009508"],
["2754","199","36537","59286","50.5","1294","92","11","001","009509"],
["2927","117","15885","40929","17.9","884","48","11","001","009601"],
["3017","153","16125","24786","26.7","1526","86","11","001","009602"],
["3273","209","21690","38404","35.6","1748","115","11","001","009603"],
["2022","129","25468","37441","41.6","1030","70","11","001","009604"],
["2403","119","18612","31549","27.8","1175","61","11","001","009700"],
["1529","85","12377","31917","19.7","713","47","11","001","009801"],
["1169","73","13076","23633","28.5","760","46","11","001","009802"],
["2374","143","15994","30625","28.4","1422","92","11","001","009803"],
["2900","129","19533","46554","26.0","1063","64","11","001","009804"],
["3232","199","23259","42420","41.4","1654","98","11","001","009807"],
["2328","89","12340","26234","26.2","1157","43","11","001","009810"],
["3530","141","12501","21713","25.6","1928","78","11","001","009811"],
["2017","152","46116","76736","52.4","1060","81","11","001","009901"],
["2773","161","27158","51400","45.7","1268","81","11","001","009902"],
["1384","92","22569","52554","39.2","741","42","11","001","009903"],
["1618","90","19039","35302","31.1","1007","58","11","001","009904"],
["2668","159","18741","35186","33.6","1328","87","11","001","009905"],
["1670","94","18149","34269","37.5","844","49","11","001","009906"],
["2587","162","14957","26612","26.8","1208","76","11","001","009907"],
["2115","145","56036","51151","31.9","1893","127","11","001","010100"],
["2661","183","64697","74744","42.9","2052","134","11","001","010200"],
["3163","215","36093","56736","36.3","1296","77","11","001","010300"],
["4594","290","17331","33500","36.8","1852","114","11","001","010400"],
["4230","223","47236","57052","35.2","2761","132","11","001","010500"],
["3637","225","32285","65122","34.1","1597","116","11","001","010600"],
["1881","157","61044","55268","27.1","1415","103","11","001","010700"],
["6818","493","5995","11375","19.7","1241","91","11","001","010800"],
["3200","191","15362","28519","22.7","1446","85","11","001","010900"],
["4528","212","54041","79297","45.9","3097","152","11","001","011000"],
["4299","301","29081","55353","47.0","1903","125","11","001","011100"]]
