[["B01003_001E","B01003_001M","B00001_001E","B19301_001E","B19301_001M","B19013_001E","B19013_001M","B01002_001E","B01002_001M","B25001_001E","B25001_001M","B00002_001E","state","county","tract","block group"],
["1165","272","70","38681","10233","61815","28170","35.2","9.2","561","128","35","11","001","002502","2"],
["2062","641","77","25351","5414","91625","60471","32.6","5.4","461","117","25","11","001","002502","3"],
["1734","619","73","41494","12420","65865","7981","35.9","4.5","1013","163","45","11","001","002502","4"],
["1179","172","148","64364","13800","122750","21745","44.6","2.4","492","55","65","11","001","002600","1"],
["1354","193","181","65343","8117","160179","62824","48.5","3.6","543","58","73","11","001","002600","2"],
["1027","493","45","49289","10888","85886","29041","32.9","8.5","510","158","21","11","001","002701","1"],
["1872","360","129","57345","7558","102955","19988","33.9","2.8","856","144","52","11","001","002701","2"],
["826","214","49","74154","13790","166469","49676","44.4","8.7","339","67","22","11","001","002701","3"],
["1756","467","79","32304","9997","38678","12376","30.9","2.6","1162","166","56","11","001","002701","4"],
["1964","472","91","38397","8902","71431","11847","30.9","3.3","918","154","44","11","001","002702","1"],
["2308","463","154","59270","8781","140357","35915","33.0","2.8","958","141","61","11","001","002702","2"],
["1583","410","81","47806","7488","90547","27706","34.3","6.6","558","90","36","11","001","002702","3"],
["1185","261","101","40540","6611","75714","27762","34.1","3.2","663","111","61","11","001","002801","1"],
["3208","506","217","19666","2987","42311","13931","29.8","1.5","1244","127","79","11","001","002801","2"],
["2781","459","197","35441","4497","56887","15202","30.7","1.4","1294","124","103","11","001","002802","1"],
["2246","477","155","24809","5098","53063","10821","28.8","2.5","848","114","73","11","001","002802","2"],
["2280","508","173","40696","8168","74861","13464","30.9","2.5","893","87","78","11","001","002900","1"],
["2588","370","216","43393","6854","91544","19038","30.1","1.6","884","95","79","11","001","002900","2"],
["1740","282","157","51622","7501","81146","15176","31.1","2.7","838","91","80","11","001","003000","1"],
["1920","340","150","30645","7074","36335","13679","28.6","1.9","765","88","67","11","001","003000","2"],
["3355","474","218","32937","6060","71774","19692","32.6","4.2","1249","58","94","11","001","003100","1"],
["1024","380","72","27691","5723","73182","63950","36.7","10.3","296","83","22","11","001","003200","1"],
["923","304","63","29862","7576","41864","14056","34.6","3.8","510","109","35","11","001","003200","2"],
["1696","392","109","35342","8103","68631","24076","31.9","5.4","672","113","44","11","001","003200","3"],
["1138","322","97","30810","5964","85511","20409","30.8","5.4","440","84","38","11","001","003200","4"],
["1302","349","98","40976","6453","99135","34629","33.2","5.2","477","78","40","11","001","003301","1"],
["1159","288","82","62705","12910","93088","42920","29.9","8.5","607","97","44","11","001","003301","2"],
["975","235","82","70430","16136","96583","40567","32.3","3.5","540","81","47","11","001","003301","3"],
["1296","224","148","41494","8306","83981","21198","34.1","2.9","551","65","67","11","001","003302","1"],
["985","177","124","56026","9616","107500","36202","33.6","3.4","466","58","63","11","001","003302","2"],
["1508","313","138","30557","8485","53043","22268","28.8","8.1","508","100","36","11","001","003400","1"],
["3160","466","312","24169","5148","103056","33540","20.3","0.8","887","105","63","11","001","003400","2"],
["1679","445","171","36152","9195","95030","12351","32.1","2.6","575","76","67","11","001","003500","1"],
["3280","473","330","14660","2685","27105","22472","21.7","0.2","652","90","73","11","001","003500","2"],
["1756","472","85","62796","10341","101691","26425","33.0","1.9","862","164","43","11","001","003600","1"],
["1293","352","85","44031","20969","50750","21456","32.7","3.9","737","147","37","11","001","003600","2"],
["1664","547","73","51391","18637","98672","52179","32.6","5.1","682","130","34","11","001","003600","3"],
["1618","345","78","46784","11916","85000","74283","30.1","2.2","715","124","38","11","001","003700","1"],
["2281","605","138","28865","7576","48750","17244","25.4","2.2","1079","175","51","11","001","003700","2"],
["1717","553","78","41331","12478","72907","16991","32.3","4.1","814","139","43","11","001","003700","3"],
["2521","458","118","61753","9364","114199","29262","31.6","1.1","1197","178","57","11","001","003800","1"],
["1709","320","94","68528","12908","82455","18295","33.9","1.5","1107","142","59","11","001","003800","2"],
["878","248","43","36075","6189","55556","21347","37.3","13.8","526","114","29","11","001","003800","3"],
["1437","263","74","55417","8727","84531","14178","32.2","2.4","913","159","48","11","001","003900","1"],
["1033","251","68","70745","16608","77226","20311","37.2","6.7","719","130","42","11","001","003900","2"],
["1198","296","74","66275","11894","80625","37319","30.4","1.0","747","130","42","11","001","003900","3"],
["783","191","43","65887","12326","96333","39520","38.7","5.4","516","115","26","11","001","003900","4"],
["1434","495","74","73340","15686","91381","28359","29.2","6.2","769","114","43","11","001","004001","1"],
["533","125","35","126514","29736","143654","31785","45.5","18.7","380","78","25","11","001","004001","2"],
["1940","266","96","85447","9686","109977","13357","38.7","2.1","1240","128","63","11","001","004001","3"],
["539","189","47","70437","10976","82308","9528","36.8","7.8","428","100","36","11","001","004002","1"],
["1590","244","160","75643","13627","103008","12602","34.0","2.6","1052","113","103","11","001","004002","2"],
["684","152","70","69506","13971","90500","9828","33.7","3.8","440","76","46","11","001","004002","3"],
["1251","195","119","107876","25341","118158","20319","43.6","4.1","984","83","83","11","001","004100","1"],
["636","150","58","76703","10675","104375","34545","45.4","14.7","402","67","35","11","001","004100","2"],
["723","170","75","132432","45601","153500","52110","55.5","12.0","369","54","40","11","001","004100","3"],
["1656","261","101","65209","7897","80321","6391","31.6","1.5","1074","125","67","11","001","004201","1"],
["1986","374","124","87874","17940","114352","21515","30.9","1.9","1038","108","71","11","001","004201","2"],
["1342","206","142","76588","9784","91023","36148","31.7","1.5","889","120","81","11","001","004202","1"],
["1418","212","144","71798","6981","87212","22853","31.9","1.3","967","100","90","11","001","004202","2"],
["1957","258","142","57053","9170","72361","15369","35.3","2.7","1284","121","96","11","001","004300","1"],
["1524","306","96","65141","8695","102713","24723","34.6","5.5","809","118","52","11","001","004300","2"],
["3447","383","185","78962","10338","129375","28209","33.4","2.3","1911","124","109","11","001","004400","1"],
["2108","379","113","73374","17968","134315","31102","31.3","4.2","785","116","44","11","001","004400","2"],
["1257","248","76","45697","11632","95556","114683","34.4","6.2","577","91","40","11","001","004600","1"],
["1670","314","123","54350","10841","91250","47405","31.9","2.6","837","91","67","11","001","004600","2"],
["1211","423","42","22615","16844","17125","5711","41.7","22.5","564","133","21","11","001","004701","1"],
["2772","525","127","40525","9867","42738","28978","31.3","2.2","1783","138","80","11","001","004701","2"],
["2285","207","281","56964","6818","79833","11075","31.7","1.5","1253","49","152","11","001","004702","1"],
["2138","267","189","49397","5683","99808","12539","36.6","4.2","1145","88","97","11","001","004801","1"],
["1209","247","102","77207","12514","113438","39174","33.9","6.3","781","117","67","11","001","004802","1"],
["2104","367","140","28776","4895","34388","8981","32.7","3.3","944","106","69","11","001","004802","2"],
["1358","268","134","23866","5851","27500","14907","28.8","2.3","570","66","59","11","001","004901","1"],
["1155","225","153","51195","8740","80096","25661","33.8","3.1","538","74","70","11","001","004901","2"],
["713","253","46","26442","8931","25179","20234","31.7","10.7","327","83","24","11","001","004902","1"],
["2046","235","177","74041","9054","118406","14159","32.5","1.7","1230","101","108","11","001","004902","2"],
["959","217","84","106144","38600","134694","29549","32.0","3.7","434","87","45","11","001","005001","1"],
["1133","282","120","84463","25460","127689","48430","45.2","12.2","585","91","61","11","001","005001","2"],
["1657","293","75","42200","8600","39250","9021","42.8","8.6","1180","169","54","11","001","005002","1"],
["1796","335","95","89187","12835","112833","25937","34.0","3.3","1162","185","64","11","001","005002","2"],
["1263","581","42","57555","38527","81125","23498","29.6","1.4","629","178","28","11","001","005002","3"],
["1219","352","56","49160","12268","71338","5196","36.3","7.0","810","187","41","11","001","005002","4"],
["2228","408","88","76552","15814","71606","10378","30.4","2.5","1828","196","69","11","001","005201","1"],
["1494","367","64","99183","15136","125750","29376","31.6","6.7","1059","194","43","11","001","005201","2"],
["727","162","34","91054","17462","101100","35243","30.7","4.2","584","113","27","11","001","005201","3"],
["1376","327","63","113616","34479","111990","34996","33.7","1.5","1033","192","46","11","001","005201","4"],
["1053","249","61","73644","15678","114609","25635","30.4","2.0","632","130","38","11","001","005301","1"],
["1419","252","78","85772","10733","117663","33190","31.4","1.9","870","131","52","11","001","005301","2"],
["1264","165","88","66439","10203","67625","16614","35.4","3.5","1106","134","62","11","001","005301","3"],
["1542","335","80","85506","15875","101500","28154","31.4","3.6","1090","138","58","11","001","005301","4"],
["656","211","35","85419","15874","114929","21760","30.9","3.9","527","171","21","11","001","005500","1"],
["2296","402","84","115887","22370","118716","62572","35.6","4.0","1790","210","63","11","001","005500","2"],
["1837","440","64","118246","64259","83750","42360","31.2","2.7","1314","192","46","11","001","005500","3"],
["1073","316","70","45523","17387","54148","52747","35.7","7.4","762","208","23","11","001","005500","4"],
["646","190","27","84121","30127","80962","30018","29.6","1.3","546","127","23","11","001","005500","5"],
["1779","331","106","55615","8715","51979","8199","28.3","1.7","1498","185","74","11","001","005600","1"],
["1619","298","138","114120","43536","54542","58718","66.9","3.9","1305","202","63","11","001","005600","2"],
["1791","1036","114","36460","24081","89464","82701","21.9","5.9","727","192","33","11","001","005600","3"],
["1288","386","86","70988","25608","101989","60029","35.1","13.0","821","196","35","11","001","005600","4"],
["888","162","93","132192","28016","136250","22868","42.6","3.5","922","109","81","11","001","005800","1"],
["1809","180","180","89986","14877","111250","28036","36.1","2.0","1210","109","118","11","001","005800","2"],
["3043","443","299","55518","7880","95714","17901","28.9","2.1","1631","65","144","11","001","005900","1"],
["0","12","0","-666666666","-222222222","-666666666","-222222222","-666666666.0","-222222222.0","0","12","0","11","001","006202","1"],
["1014","216","92","16136","4195","16905","5008","45.0","13.1","588","79","58","11","001","006400","1"],
["972","269","79","12802","3720","23679","4278","27.5","6.0","563","79","46","11","001","006400","2"],
["959","141","89","69202","11726","93705","36400","31.8","0.8","746","81","61","11","001","006500","1"],
["1456","229","147","87077","13200","152656","34502","37.4","3.6","755","86","78","11","001","006500","2"],
["1932","226","207","106184","18599","159659","19081","38.5","4.6","1120","57","107","11","001","006600","1"],
["1256","248","114","79937","15578","131000","27703","39.8","5.9","588","75","54","11","001","006700","1"],
["1269","244","118","79842","12879","131875","29517","37.8","3.8","601","79","59","11","001","006700","2"],
["1432","268","119","95080","16636","147813","14401","37.1","5.3","730","105","62","11","001","006700","3"],
["1373","173","162","40066","6071","70938","19116","33.9","6.4","623","65","84","11","001","006801","1"],
["705","181","95","45940","10435","87019","30652","32.7","3.2","296","45","47","11","001","006801","2"],
["783","164","110","54614","11509","106544","44838","35.8","1.6","362","49","53","11","001","006802","1"],
["1484","207","199","47161","6730","104423","20798","39.5","4.6","656","60","92","11","001","006802","2"],
["3008","233","464","4990","1282","-666666666","-222222222","33.9","2.9","0","12","0","11","001","006804","1"],
["1404","150","124","71598","9849","83125","32423","41.8","3.3","949","63","78","11","001","006900","1"],
["744","147","74","73182","12751","157813","53399","37.3","6.1","283","52","28","11","001","006900","2"],
["1413","251","128","77470","10871","135917","22697","34.3","3.0","768","67","70","11","001","007000","1"],
["1316","269","153","51564","7912","89375","24015","30.0","3.9","523","65","48","11","001","007000","2"],
["745","356","48","32227","17665","60121","28572","34.3","18.8","307","89","23","11","001","007100","1"],
["2590","410","213","41862","7958","72756","18492","33.0","2.2","1105","88","97","11","001","007100","2"],
["3109","369","243","62777","6997","114896","10086","30.8","1.9","1670","118","144","11","001","007200","1"],
["1138","426","93","49703","22148","44911","15617","32.5","9.7","639","96","55","11","001","007200","2"],
["3602","518","398","24671","3308","66094","17390","21.9","1.5","1105","75","103","11","001","007301","1"],
["2655","366","197","16174","3089","24423","14734","28.1","7.8","893","76","69","11","001","007304","1"],
["658","221","55","17565","6889","38889","36927","37.1","7.7","325","59","27","11","001","007304","2"],
["327","122","26","22610","6424","41250","35639","50.8","10.5","216","56","17","11","001","007304","3"],
["1340","276","128","10210","2774","14233","3592","26.6","4.6","550","61","57","11","001","007401","1"],
["1108","217","120","8124","2408","16250","8735","22.3","4.6","501","63","55","11","001","007401","2"],
["3328","417","187","12271","2171","28149","6117","25.4","2.6","1182","30","77","11","001","007403","1"],
["2371","518","109","12507","4859","27754","7153","20.6","4.7","918","114","49","11","001","007404","1"],
["1063","503","55","13162","6860","39412","20681","25.4","6.4","268","97","17","11","001","007404","2"],
["313","217","16","13547","7918","26818","28163","19.6","26.4","292","91","17","11","001","007404","3"],
["2205","435","119","13563","2852","40556","10834","25.2","3.2","656","93","41","11","001","007406","1"],
["924","362","58","8835","3358","15048","2351","20.6","9.5","454","91","33","11","001","007406","2"],
["945","291","59","16819","4604","40708","5987","26.6","13.5","351","80","28","11","001","007407","1"],
["2005","299","127","23316","7147","33843","11222","31.6","6.9","996","81","72","11","001","007407","2"],
["3357","474","287","11140","1973","23879","5373","28.5","7.0","1293","37","106","11","001","007408","1"],
["1126","388","59","14015","3971","34153","11395","34.7","15.4","482","85","31","11","001","007409","1"],
["918","234","74","27504","7692","27656","44338","28.6","4.5","460","90","41","11","001","007409","2"],
["1804","406","88","14308","3830","34412","10849","22.9","4.1","680","91","39","11","001","007409","3"],
["3458","538","206","17423","10236","26047","10304","26.1","7.0","1101","127","68","11","001","007502","1"],
["1814","474","117","14266","4427","15947","19148","33.3","3.8","856","128","62","11","001","007502","2"],
["744","196","81","23626","6196","44879","5570","36.3","7.6","363","65","43","11","001","007503","1"],
["1868","405","182","10319","2019","22308","11484","21.5","3.1","709","70","77","11","001","007503","2"],
["2530","407","174","15603","3944","18529","4506","26.4","5.0","1339","48","99","11","001","007504","1"],
["538","288","28","27063","10788","36768","9157","36.8","10.1","461","150","22","11","001","007601","1"],
["360","110","25","37934","10010","48021","38840","62.6","9.8","322","83","21","11","001","007601","2"],
["1517","430","93","32817","10111","50950","19527","47.7","7.1","631","120","40","11","001","007601","3"],
["604","239","29","16940","5839","25372","13247","29.2","6.1","494","135","24","11","001","007601","4"],
["859","265","44","25142","6943","62337","33226","51.9","3.7","418","99","24","11","001","007601","5"],
["1140","324","49","30437","9101","37091","25055","51.3","9.8","910","193","34","11","001","007603","1"],
["599","204","26","78979","18162","91025","29875","48.7","6.5","559","145","20","11","001","007603","2"],
["744","411","45","38465","13968","125060","63784","48.4","14.2","244","95","18","11","001","007603","3"],
["1149","434","34","27784","10063","47901","12502","51.0","10.2","601","188","21","11","001","007603","4"],
["977","295","76","30114","6380","47656","13289","40.4","10.9","560","103","44","11","001","007604","1"],
["1638","289","133","39716","5060","83796","8514","46.4","3.6","767","90","68","11","001","007604","2"],
["1191","376","72","27255","9071","46477","14147","37.2","9.9","661","118","45","11","001","007604","3"],
["776","181","73","29888","7951","75655","36913","45.7","11.5","308","56","30","11","001","007605","1"],
["2238","309","150","25651","4028","47596","8453","41.5","3.6","1222","100","86","11","001","007605","2"],
["521","229","40","15647","6870","18750","9597","34.3","7.4","337","76","25","11","001","007605","3"],
["773","197","38","33884","10537","38690","32182","50.0","4.8","488","101","22","11","001","007703","1"],
["898","389","31","22811","8821","37353","8056","39.5","8.8","505","144","19","11","001","007703","2"],
["2728","688","104","10833","3468","21144","7521","22.8","7.6","1157","162","45","11","001","007703","3"],
["484","212","22","39511","41139","27875","39245","24.5","17.3","312","116","14","11","001","007703","4"],
["2965","570","184","15192","3397","33419","7009","27.6","5.0","1216","104","84","11","001","007707","1"],
["1427","393","117","32444","9031","60313","8661","39.0","6.5","599","97","57","11","001","007707","2"],
["1337","334","74","16233","5440","29635","13673","30.0","17.6","583","110","35","11","001","007708","1"],
["1460","360","108","17252","4594","26250","11829","40.9","8.7","743","110","52","11","001","007708","2"],
["959","198","96","19742","3965","31685","11438","50.8","2.6","698","89","62","11","001","007709","1"],
["811","210","72","27228","8696","44318","7121","34.8","6.4","446","81","37","11","001","007709","2"],
["805","386","48","22646","8733","49632","25200","35.4","6.5","393","114","23","11","001","007803","1"],
["488","239","43","26233","13065","40938","21318","51.6","15.5","254","82","22","11","001","007803","2"],
["423","250","38","23574","5700","58966","19443","45.1","14.4","156","70","13","11","001","007803","3"],
["1290","290","79","19642","4514","22013","4952","42.6","15.4","823","118","50","11","001","007803","4"],
["957","347","83","19276","7391","48750","26135","44.8","15.4","351","100","22","11","001","007804","1"],
["1032","262","65","21266","11421","32014","16342","28.4","6.8","540","116","31","11","001","007804","2"],
["1306","462","83","23362","4878","51696","31625","45.7","18.3","479","114","31","11","001","007804","3"],
["1008","209","116","20464","5705","27708","13308","44.4","9.6","529","85","59","11","001","007806","1"],
["1108","242","96","22048","6957","39194","9651","37.5","7.4","555","95","53","11","001","007806","2"],
["1374","230","154","18322","3431","34924","13399","33.7","3.8","559","69","62","11","001","007807","1"],
["846","195","90","31096","20294","24367","9734","43.2","7.3","415","69","44","11","001","007807","2"],
["2406","785","97","21921","6127","48750","34986","28.2","8.7","709","125","37","11","001","007808","1"],
["889","278","55","21263","6161","39318","30251","44.5","10.8","566","116","38","11","001","007808","2"],
["1029","577","48","12765","7226","31607","20734","22.0","1.1","344","113","21","11","001","007808","3"],
["1641","360","117","19837","4088","35117","8503","36.2","8.0","982","92","65","11","001","007809","1"],
["1023","324","79","23451","8748","51429","16288","41.6","24.2","382","91","29","11","001","007809","2"],
["255","123","19","23625","13404","33889","26144","32.7","21.5","166","69","14","11","001","007901","1"],
["1187","330","77","27193","7512","44457","10689","41.0","9.3","520","85","38","11","001","007901","2"],
["1567","379","102","26762","5474","42050","19670","33.7","6.2","611","85","49","11","001","007901","3"],
["1008","239","71","29834","9510","31964","31757","31.2","6.5","492","83","39","11","001","007901","4"],
["1692","239","214","27540","4036","46638","6998","38.6","3.5","916","28","123","11","001","007903","1"],
["1090","384","69","57450","13460","110506","24791","38.0","6.3","475","93","32","11","001","008001","1"],
["1143","207","112","64077","8887","102188","27315","36.9","3.9","601","87","59","11","001","008001","2"],
["788","231","67","64334","8675","167955","71672","32.8","5.9","317","67","28","11","001","008001","3"],
["1359","256","121","56480","9451","91212","14327","38.6","5.3","684","92","60","11","001","008002","1"],
["2326","306","217","58821","6043","120278","20270","34.4","1.7","957","87","92","11","001","008002","2"],
["731","180","72","66976","10056","121429","43108","36.1","2.4","352","78","34","11","001","008100","1"],
